year,rainfall,rain_anomaly
1990,2176.75,-55.25
1991,2271.57,39.57
1992,2250.92,18.92
1993,2322.03,90.03
1994,2199.54,-32.46
1995,2195.32,-36.68
1996,2262.66,30.66
1997,2192.5,-39.5
1998,2351.68,119.68
1999,2078.72,-153.28
2000,2220.36,-11.64
2001,2100.92,-131.08
2002,2199.11,-32.89
2003,1905.52,-326.48
2004,2202.27,-29.73
2005,2174.29,-57.71
2006,2308.31,76.31
2007,2350.29,118.29
2008,2329.92,97.92
2009,2266.21,34.21
2010,2231.79,-0.21
2011,2312.79,80.79
2012,2154.25,-77.75
2013,2270.13,38.13
2014,2272.51,40.51
2015,2242.26,10.26
2016,2217.57,-14.43
2017,2032.09,-199.91
2018,2167.37,-64.63
2019,2180.43,-51.57
2020,2549.89,317.89
2021,2077.14,-154.86
2022,2072.42,-159.58
2023,2186.92,-45.08
2024,2250.54,18.54
2025,2319.5,87.5
2026,2472.53,240.53
2027,2331.75,99.75
2028,2217.88,-14.12
2029,2242.46,10.46
2030,2110.93,-121.07
