year,temperature,temp_anomaly
1990,24.38,-0.32
1991,24.49,-0.21
1992,24.46,-0.24
1993,24.44,-0.26
1994,24.56,-0.14
1995,24.74,0.04
1996,24.61,-0.09
1997,24.7,-0.0
1998,24.72,0.02
1999,24.66,-0.04
2000,24.67,-0.03
2001,24.76,0.06
2002,24.89,0.19
2003,24.75,0.05
2004,24.81,0.11
2005,25.02,0.32
2006,24.94,0.24
2007,24.86,0.16
2008,25.03,0.33
2009,25.11,0.41
2010,24.89,0.19
2011,25.08,0.38
2012,25.16,0.46
2013,25.1,0.4
2014,25.03,0.33
2015,25.07,0.37
2016,25.17,0.47
2017,25.15,0.45
2018,25.3,0.6
2019,25.21,0.51
2020,25.43,0.73
2021,25.1,0.4
2022,25.22,0.52
2023,25.5,0.8
2024,25.4,0.7
2025,25.57,0.87
2026,25.24,0.54
2027,25.46,0.76
2028,25.48,0.78
2029,25.36,0.66
2030,25.37,0.67
