year,temp_anomaly,rain_anomaly
1990,-0.32,-55.25
1991,-0.21,39.57
1992,-0.24,18.92
1993,-0.26,90.03
1994,-0.14,-32.46
1995,0.04,-36.68
1996,-0.09,30.66
1997,-0.0,-39.5
1998,0.02,119.68
1999,-0.04,-153.28
2000,-0.03,-11.64
2001,0.06,-131.08
2002,0.19,-32.89
2003,0.05,-326.48
2004,0.11,-29.73
2005,0.32,-57.71
2006,0.24,76.31
2007,0.16,118.29
2008,0.33,97.92
2009,0.41,34.21
2010,0.19,-0.21
2011,0.38,80.79
2012,0.46,-77.75
2013,0.4,38.13
2014,0.33,40.51
2015,0.37,10.26
2016,0.47,-14.43
2017,0.45,-199.91
2018,0.6,-64.63
2019,0.51,-51.57
2020,0.73,317.89
2021,0.4,-154.86
2022,0.52,-159.58
2023,0.8,-45.08
2024,0.7,18.54
2025,0.87,87.5
2026,0.54,240.53
