year,month,temperature,rainfall,temp_anomaly,rain_anomaly,humidity,wind_speed,solar_radiation
1990,1,24.65,170.88,-0.05,-15.12,87.0,1.9,16.1
1990,2,24.71,102.88,0.01,-83.12,92.3,3.0,20.0
1990,3,24.79,145.64,0.09,-40.36,78.7,2.3,18.7
1990,4,25.16,211.02,0.46,25.02,80.8,3.0,16.0
1990,5,24.66,243.41,-0.04,57.41,90.7,2.0,18.6
1990,6,24.33,126.65,-0.37,-59.35,75.9,3.0,16.2
1990,7,24.32,111.05,-0.38,-74.95,83.8,1.8,18.5
1990,8,24.16,129.71,-0.54,-56.29,93.2,2.1,19.6
1990,9,24.13,246.73,-0.57,60.73,78.7,3.9,20.4
1990,10,23.41,353.84,-1.29,167.84,92.9,3.0,21.5
1990,11,24.03,195.97,-0.67,9.97,80.4,3.6,17.5
1990,12,24.16,138.97,-0.54,-47.03,85.9,1.9,20.6
1991,1,24.32,105.5,-0.38,-80.5,91.3,3.3,20.1
1991,2,24.96,162.79,0.26,-23.21,76.5,2.4,15.8
1991,3,25.06,161.74,0.36,-24.26,76.3,2.3,17.3
1991,4,25.32,250.31,0.62,64.31,87.8,3.7,18.3
1991,5,25.07,289.12,0.37,103.12,86.2,3.4,18.5
1991,6,24.58,121.64,-0.12,-64.36,83.6,1.6,15.8
1991,7,24.55,88.86,-0.15,-97.14,85.2,3.8,16.7
1991,8,24.19,170.32,-0.51,-15.68,90.1,2.1,15.5
1991,9,23.85,301.88,-0.85,115.88,91.2,3.1,21.1
1991,10,23.87,331.02,-0.83,145.02,78.7,3.7,18.8
1991,11,23.88,175.72,-0.82,-10.28,83.5,3.5,21.0
1991,12,24.18,112.67,-0.52,-73.33,85.2,2.5,16.6
1992,1,24.45,189.86,-0.25,3.86,81.5,2.8,19.9
1992,2,24.56,128.54,-0.14,-57.46,94.4,3.9,16.8
1992,3,24.41,156.76,-0.29,-29.24,75.7,3.0,18.5
1992,4,25.04,160.8,0.34,-25.2,80.6,3.8,16.7
1992,5,24.97,322.85,0.27,136.85,79.8,3.2,20.3
1992,6,24.45,101.11,-0.25,-84.89,89.6,2.4,19.4
1992,7,24.73,75.42,0.03,-110.58,91.7,2.3,16.3
1992,8,24.96,130.4,0.26,-55.6,86.8,3.2,15.1
1992,9,23.65,260.9,-1.05,74.9,78.5,3.2,17.7
1992,10,24.07,353.37,-0.63,167.37,77.8,2.4,15.8
1992,11,24.36,249.97,-0.34,63.97,86.1,2.8,16.7
1992,12,23.93,120.94,-0.77,-65.06,92.9,3.8,19.4
1993,1,24.2,170.34,-0.5,-15.66,92.9,3.7,20.5
1993,2,24.43,151.93,-0.27,-34.07,76.7,1.9,21.3
1993,3,25.1,126.55,0.4,-59.45,78.2,2.9,19.8
1993,4,24.86,240.06,0.16,54.06,79.5,3.3,16.7
1993,5,25.36,272.44,0.66,86.44,92.0,3.1,19.0
1993,6,24.58,90.74,-0.12,-95.26,82.4,2.2,16.7
1993,7,24.55,123.52,-0.15,-62.48,87.6,3.5,18.5
1993,8,24.43,188.31,-0.27,2.31,84.9,2.0,20.1
1993,9,23.82,303.43,-0.88,117.43,94.1,3.8,17.6
1993,10,24.22,198.6,-0.48,12.6,93.6,2.6,21.8
1993,11,23.89,254.24,-0.81,68.24,81.3,1.9,18.9
1993,12,23.87,201.87,-0.83,15.87,88.9,2.9,15.7
1994,1,24.62,183.96,-0.08,-2.04,89.8,3.2,19.9
1994,2,24.51,128.2,-0.19,-57.8,80.9,3.5,20.7
1994,3,25.19,212.22,0.49,26.22,88.0,3.3,20.6
1994,4,26.26,271.48,1.56,85.48,81.8,2.4,15.7
1994,5,24.89,244.84,0.19,58.84,85.9,2.2,19.1
1994,6,24.87,86.2,0.17,-99.8,75.7,3.6,17.5
1994,7,24.62,116.2,-0.08,-69.8,79.3,3.1,15.6
1994,8,24.03,131.58,-0.67,-54.42,85.6,2.9,19.5
1994,9,23.56,282.51,-1.14,96.51,80.4,2.6,15.5
1994,10,24.16,200.26,-0.54,14.26,94.3,3.6,19.9
1994,11,23.81,166.71,-0.89,-19.29,80.0,2.9,20.0
1994,12,24.25,175.38,-0.45,-10.62,80.6,3.9,20.2
1995,1,25.26,142.76,0.56,-43.24,80.0,2.4,20.3
1995,2,25.18,99.21,0.48,-86.79,77.3,1.6,15.3
1995,3,25.19,177.21,0.49,-8.79,77.0,2.7,18.3
1995,4,25.36,176.86,0.66,-9.14,83.7,2.5,19.3
1995,5,24.93,231.19,0.23,45.19,87.5,2.8,21.0
1995,6,24.91,131.43,0.21,-54.57,78.3,1.7,19.5
1995,7,24.65,126.41,-0.05,-59.59,86.5,2.5,19.5
1995,8,24.26,175.49,-0.44,-10.51,85.9,3.9,17.7
1995,9,24.28,178.25,-0.42,-7.75,81.4,3.6,15.2
1995,10,23.94,332.83,-0.76,146.83,80.6,1.8,19.9
1995,11,24.46,239.62,-0.24,53.62,91.1,2.2,16.2
1995,12,24.47,184.06,-0.23,-1.94,91.1,4.0,17.9
1996,1,25.03,135.67,0.33,-50.33,93.6,3.6,18.0
1996,2,24.72,161.07,0.02,-24.93,90.1,1.8,21.3
1996,3,25.47,160.57,0.77,-25.43,92.9,2.5,15.1
1996,4,25.16,273.51,0.46,87.51,76.8,2.3,21.7
1996,5,25.11,269.78,0.41,83.78,84.0,2.2,17.3
1996,6,25.08,132.42,0.38,-53.58,90.0,3.5,20.5
1996,7,24.65,73.45,-0.05,-112.55,86.0,2.6,21.2
1996,8,24.13,163.9,-0.57,-22.1,77.3,1.9,20.3
1996,9,23.97,180.11,-0.73,-5.89,89.0,1.7,20.8
1996,10,24.22,314.65,-0.48,128.65,76.6,1.7,21.9
1996,11,23.78,249.41,-0.92,63.41,93.9,4.0,20.3
1996,12,23.98,148.12,-0.72,-37.88,76.7,3.4,18.9
1997,1,24.93,115.01,0.23,-70.99,84.9,1.5,18.3
1997,2,24.88,102.73,0.18,-83.27,77.4,1.8,19.5
1997,3,25.26,229.91,0.56,43.91,82.5,2.2,21.1
1997,4,25.63,183.51,0.93,-2.49,94.3,1.5,21.8
1997,5,25.18,186.07,0.48,0.07,86.1,3.9,18.7
1997,6,24.93,129.32,0.23,-56.68,88.9,2.6,19.4
1997,7,24.94,72.73,0.24,-113.27,80.6,3.9,21.2
1997,8,24.48,175.21,-0.22,-10.79,87.4,2.2,16.3
1997,9,23.6,252.05,-1.1,66.05,76.6,3.9,21.9
1997,10,24.02,313.29,-0.68,127.29,85.7,2.3,20.7
1997,11,23.97,261.78,-0.73,75.78,91.5,3.9,20.1
1997,12,24.57,170.89,-0.13,-15.11,83.4,3.8,21.1
1998,1,25.05,193.85,0.35,7.85,78.0,3.0,17.7
1998,2,24.81,179.47,0.11,-6.53,91.8,3.6,18.3
1998,3,24.65,132.09,-0.05,-53.91,92.3,3.5,22.0
1998,4,25.02,285.56,0.32,99.56,86.1,3.4,21.6
1998,5,25.0,242.58,0.3,56.58,77.6,3.9,19.2
1998,6,25.14,100.46,0.44,-85.54,88.4,3.0,17.5
1998,7,24.8,101.22,0.1,-84.78,90.4,2.8,21.0
1998,8,24.23,185.61,-0.47,-0.39,86.2,3.7,17.8
1998,9,24.46,269.39,-0.24,83.39,79.3,1.8,15.1
1998,10,24.61,254.9,-0.09,68.9,86.8,2.5,18.1
1998,11,24.19,211.76,-0.51,25.76,90.7,2.5,19.4
1998,12,24.67,194.79,-0.03,8.79,94.0,1.9,21.5
1999,1,24.21,146.32,-0.49,-39.68,94.6,2.7,17.3
1999,2,24.96,151.21,0.26,-34.79,79.8,1.7,15.9
1999,3,25.27,145.64,0.57,-40.36,81.9,3.7,18.3
1999,4,24.94,242.12,0.24,56.12,78.4,2.0,15.3
1999,5,25.0,201.55,0.3,15.55,76.8,1.8,18.2
1999,6,24.74,98.86,0.04,-87.14,82.3,2.8,19.8
1999,7,24.52,122.41,-0.18,-63.59,93.4,1.7,16.9
1999,8,24.54,213.07,-0.16,27.07,90.0,2.0,16.5
1999,9,24.21,257.03,-0.49,71.03,82.4,2.7,20.2
1999,10,23.53,202.16,-1.17,16.16,80.0,3.3,21.3
1999,11,25.22,160.5,0.52,-25.5,83.9,2.8,16.7
1999,12,24.81,137.85,0.11,-48.15,82.5,1.6,17.3
2000,1,24.56,115.78,-0.14,-70.22,92.8,3.0,19.8
2000,2,24.68,164.29,-0.02,-21.71,85.0,1.7,18.8
2000,3,25.64,172.62,0.94,-13.38,77.6,2.2,17.5
2000,4,25.41,239.26,0.71,53.26,86.4,2.4,21.9
2000,5,24.76,190.27,0.06,4.27,78.1,2.1,16.1
2000,6,25.17,97.43,0.47,-88.57,80.7,1.9,21.3
2000,7,24.76,94.62,0.06,-91.38,94.6,1.8,17.8
2000,8,24.25,230.7,-0.45,44.7,92.3,3.5,16.8
2000,9,24.47,301.83,-0.23,115.83,86.1,2.9,17.0
2000,10,23.96,325.27,-0.74,139.27,78.7,2.3,18.0
2000,11,23.83,161.47,-0.87,-24.53,87.2,2.2,19.1
2000,12,24.51,126.82,-0.19,-59.18,84.6,2.8,15.4
2001,1,24.52,110.7,-0.18,-75.3,94.8,2.3,20.7
2001,2,24.91,119.39,0.21,-66.61,88.6,3.4,19.2
2001,3,24.47,163.68,-0.23,-22.32,93.6,3.6,21.8
2001,4,25.04,170.41,0.34,-15.59,89.6,3.8,16.3
2001,5,25.23,261.17,0.53,75.17,91.8,1.8,20.6
2001,6,24.98,98.52,0.28,-87.48,78.3,1.9,20.7
2001,7,24.86,91.53,0.16,-94.47,92.5,2.5,20.7
2001,8,25.15,173.43,0.45,-12.57,82.5,2.7,17.1
2001,9,24.35,201.44,-0.35,15.44,93.0,2.5,18.8
2001,10,24.78,348.29,0.08,162.29,87.5,1.8,21.6
2001,11,23.9,164.55,-0.8,-21.45,90.9,3.1,18.7
2001,12,24.87,197.81,0.17,11.81,90.8,1.9,17.2
2002,1,25.05,108.02,0.35,-77.98,86.4,3.4,21.1
2002,2,24.79,126.73,0.09,-59.27,91.4,1.8,20.9
2002,3,25.15,212.11,0.45,26.11,78.0,2.1,20.1
2002,4,25.01,249.04,0.31,63.04,87.8,3.2,18.8
2002,5,25.0,202.24,0.3,16.24,93.2,3.0,17.8
2002,6,24.68,117.26,-0.02,-68.74,93.9,1.9,19.1
2002,7,25.53,71.09,0.83,-114.91,92.4,3.8,19.0
2002,8,24.59,201.24,-0.11,15.24,93.4,3.3,16.1
2002,9,24.93,229.07,0.23,43.07,89.7,3.8,21.5
2002,10,24.7,271.74,0.0,85.74,77.3,4.0,20.9
2002,11,24.38,221.5,-0.32,35.5,83.0,1.6,17.3
2002,12,24.88,189.07,0.18,3.07,75.1,2.3,17.8
2003,1,25.07,136.17,0.37,-49.83,81.9,3.3,18.2
2003,2,25.1,116.87,0.4,-69.13,84.0,1.9,16.2
2003,3,24.45,224.8,-0.25,38.8,82.2,3.0,19.4
2003,4,25.31,155.73,0.61,-30.27,88.3,1.9,21.7
2003,5,25.18,187.8,0.48,1.8,94.9,2.8,19.2
2003,6,24.74,88.83,0.04,-97.17,90.0,2.0,21.3
2003,7,24.65,72.19,-0.05,-113.81,84.4,2.9,15.5
2003,8,24.41,209.76,-0.29,23.76,84.1,2.8,18.1
2003,9,24.77,190.35,0.07,4.35,78.6,3.7,21.6
2003,10,23.7,258.72,-1.0,72.72,80.4,3.1,17.9
2003,11,24.67,150.41,-0.03,-35.59,79.4,2.1,19.7
2003,12,24.96,113.89,0.26,-72.11,77.1,3.5,16.2
