year,month,rainfall,rain_anomaly
1990,1,170.88,-15.12
1990,2,102.88,-83.12
1990,3,145.64,-40.36
1990,4,211.02,25.02
1990,5,243.41,57.41
1990,6,126.65,-59.35
1990,7,111.05,-74.95
1990,8,129.71,-56.29
1990,9,246.73,60.73
1990,10,353.84,167.84
1990,11,195.97,9.97
1990,12,138.97,-47.03
1991,1,105.5,-80.5
1991,2,162.79,-23.21
1991,3,161.74,-24.26
1991,4,250.31,64.31
1991,5,289.12,103.12
1991,6,121.64,-64.36
1991,7,88.86,-97.14
1991,8,170.32,-15.68
1991,9,301.88,115.88
1991,10,331.02,145.02
1991,11,175.72,-10.28
1991,12,112.67,-73.33
1992,1,189.86,3.86
1992,2,128.54,-57.46
1992,3,156.76,-29.24
1992,4,160.8,-25.2
1992,5,322.85,136.85
1992,6,101.11,-84.89
1992,7,75.42,-110.58
1992,8,130.4,-55.6
1992,9,260.9,74.9
1992,10,353.37,167.37
1992,11,249.97,63.97
1992,12,120.94,-65.06
1993,1,170.34,-15.66
1993,2,151.93,-34.07
1993,3,126.55,-59.45
1993,4,240.06,54.06
1993,5,272.44,86.44
1993,6,90.74,-95.26
1993,7,123.52,-62.48
1993,8,188.31,2.31
1993,9,303.43,117.43
1993,10,198.6,12.6
1993,11,254.24,68.24
1993,12,201.87,15.87
1994,1,183.96,-2.04
1994,2,128.2,-57.8
1994,3,212.22,26.22
1994,4,271.48,85.48
1994,5,244.84,58.84
1994,6,86.2,-99.8
1994,7,116.2,-69.8
1994,8,131.58,-54.42
1994,9,282.51,96.51
1994,10,200.26,14.26
1994,11,166.71,-19.29
1994,12,175.38,-10.62
1995,1,142.76,-43.24
1995,2,99.21,-86.79
1995,3,177.21,-8.79
1995,4,176.86,-9.14
1995,5,231.19,45.19
1995,6,131.43,-54.57
1995,7,126.41,-59.59
1995,8,175.49,-10.51
1995,9,178.25,-7.75
1995,10,332.83,146.83
1995,11,239.62,53.62
1995,12,184.06,-1.94
1996,1,135.67,-50.33
1996,2,161.07,-24.93
1996,3,160.57,-25.43
1996,4,273.51,87.51
1996,5,269.78,83.78
1996,6,132.42,-53.58
1996,7,73.45,-112.55
1996,8,163.9,-22.1
1996,9,180.11,-5.89
1996,10,314.65,128.65
1996,11,249.41,63.41
1996,12,148.12,-37.88
1997,1,115.01,-70.99
1997,2,102.73,-83.27
1997,3,229.91,43.91
1997,4,183.51,-2.49
1997,5,186.07,0.07
1997,6,129.32,-56.68
1997,7,72.73,-113.27
1997,8,175.21,-10.79
1997,9,252.05,66.05
1997,10,313.29,127.29
1997,11,261.78,75.78
1997,12,170.89,-15.11
1998,1,193.85,7.85
1998,2,179.47,-6.53
1998,3,132.09,-53.91
1998,4,285.56,99.56
1998,5,242.58,56.58
1998,6,100.46,-85.54
1998,7,101.22,-84.78
1998,8,185.61,-0.39
1998,9,269.39,83.39
1998,10,254.9,68.9
1998,11,211.76,25.76
1998,12,194.79,8.79
1999,1,146.32,-39.68
1999,2,151.21,-34.79
1999,3,145.64,-40.36
1999,4,242.12,56.12
1999,5,201.55,15.55
1999,6,98.86,-87.14
1999,7,122.41,-63.59
1999,8,213.07,27.07
1999,9,257.03,71.03
1999,10,202.16,16.16
1999,11,160.5,-25.5
1999,12,137.85,-48.15
2000,1,115.78,-70.22
2000,2,164.29,-21.71
2000,3,172.62,-13.38
2000,4,239.26,53.26
2000,5,190.27,4.27
2000,6,97.43,-88.57
2000,7,94.62,-91.38
2000,8,230.7,44.7
2000,9,301.83,115.83
2000,10,325.27,139.27
2000,11,161.47,-24.53
2000,12,126.82,-59.18
2001,1,110.7,-75.3
2001,2,119.39,-66.61
2001,3,163.68,-22.32
2001,4,170.41,-15.59
2001,5,261.17,75.17
2001,6,98.52,-87.48
2001,7,91.53,-94.47
2001,8,173.43,-12.57
2001,9,201.44,15.44
2001,10,348.29,162.29
2001,11,164.55,-21.45
2001,12,197.81,11.81
2002,1,108.02,-77.98
2002,2,126.73,-59.27
2002,3,212.11,26.11
2002,4,249.04,63.04
2002,5,202.24,16.24
2002,6,117.26,-68.74
2002,7,71.09,-114.91
2002,8,201.24,15.24
2002,9,229.07,43.07
2002,10,271.74,85.74
2002,11,221.5,35.5
2002,12,189.07,3.07
2003,1,136.17,-49.83
2003,2,116.87,-69.13
2003,3,224.8,38.8
2003,4,155.73,-30.27
2003,5,187.8,1.8
2003,6,88.83,-97.17
2003,7,72.19,-113.81
2003,8,209.76,23.76
2003,9,190.35,4.35
2003,10,258.72,72.72
2003,11,150.41,-35.59
2003,12,113.89,-72.11
2004,1,113.95,-72.05
2004,2,167.74,-18.26
2004,3,127.4,-58.6
2004,4,177.95,-8.05
2004,5,213.91,27.91
2004,6,128.94,-57.06
2004,7,115.82,-70.18
2004,8,222.61,36.61
2004,9,259.22,73.22
2004,10,361.38,175.38
2004,11,181.53,-4.47
2004,12,131.82,-54.18
2005,1,159.05,-26.95
2005,2,133.18,-52.82
2005,3,134.94,-51.06
2005,4,192.11,6.11
2005,5,274.55,88.55
2005,6,86.25,-99.75
2005,7,90.05,-95.95
2005,8,204.64,18.64
2005,9,283.12,97.12
2005,10,256.64,70.64
2005,11,170.33,-15.67
2005,12,189.43,3.43
2006,1,124.91,-61.09
2006,2,157.27,-28.73
2006,3,225.83,39.83
2006,4,267.79,81.79
2006,5,209.5,23.5
2006,6,108.47,-77.53
2006,7,89.13,-96.87
2006,8,151.16,-34.84
2006,9,303.23,117.23
2006,10,324.89,138.89
2006,11,200.09,14.09
2006,12,146.04,-39.96
2007,1,139.59,-46.41
2007,2,164.05,-21.95
2007,3,192.25,6.25
2007,4,278.44,92.44
2007,5,208.07,22.07
2007,6,88.16,-97.84
2007,7,111.76,-74.24
2007,8,150.17,-35.83
2007,9,295.98,109.98
2007,10,306.08,120.08
2007,11,238.15,52.15
2007,12,177.59,-8.41
2008,1,179.22,-6.78
2008,2,120.43,-65.57
2008,3,201.33,15.33
2008,4,174.94,-11.06
2008,5,225.27,39.27
2008,6,143.91,-42.09
2008,7,107.91,-78.09
2008,8,210.22,24.22
2008,9,259.1,73.1
2008,10,311.56,125.56
2008,11,190.58,4.58
2008,12,205.45,19.45
2009,1,166.5,-19.5
2009,2,133.8,-52.2
2009,3,134.9,-51.1
2009,4,279.51,93.51
2009,5,234.64,48.64
2009,6,148.38,-37.62
2009,7,121.86,-64.14
2009,8,219.81,33.81
2009,9,186.9,0.9
2009,10,329.82,143.82
2009,11,172.27,-13.73
2009,12,137.82,-48.18
2010,1,159.0,-27.0
2010,2,163.51,-22.49
2010,3,192.76,6.76
2010,4,197.09,11.09
2010,5,260.13,74.13
2010,6,96.06,-89.94
2010,7,112.54,-73.46
2010,8,162.66,-23.34
2010,9,233.13,47.13
2010,10,209.71,23.71
2010,11,269.96,83.96
2010,12,175.24,-10.76
2011,1,122.96,-63.04
2011,2,119.65,-66.35
2011,3,163.36,-22.64
2011,4,268.45,82.45
2011,5,310.11,124.11
2011,6,149.69,-36.31
2011,7,112.95,-73.05
2011,8,230.91,44.91
2011,9,232.12,46.12
2011,10,223.47,37.47
2011,11,244.46,58.46
2011,12,134.66,-51.34
2012,1,143.78,-42.22
2012,2,112.03,-73.97
2012,3,217.17,31.17
2012,4,181.17,-4.83
2012,5,180.9,-5.1
2012,6,106.76,-79.24
2012,7,97.28,-88.72
2012,8,141.08,-44.92
2012,9,307.67,121.67
2012,10,341.85,155.85
2012,11,209.64,23.64
2012,12,114.92,-71.08
2013,1,140.45,-45.55
2013,2,181.95,-4.05
2013,3,187.24,1.24
2013,4,197.17,11.17
2013,5,297.68,111.68
2013,6,107.37,-78.63
2013,7,84.25,-101.75
2013,8,191.17,5.17
2013,9,242.75,56.75
2013,10,259.87,73.87
2013,11,249.44,63.44
2013,12,130.79,-55.21
2014,1,110.42,-75.58
2014,2,138.81,-47.19
2014,3,159.62,-26.38
2014,4,208.59,22.59
2014,5,281.36,95.36
2014,6,153.33,-32.67
2014,7,127.08,-58.92
2014,8,150.63,-35.37
2014,9,280.4,94.4
2014,10,308.15,122.15
2014,11,239.85,53.85
2014,12,114.27,-71.73
2015,1,158.5,-27.5
2015,2,156.39,-29.61
2015,3,155.61,-30.39
2015,4,179.33,-6.67
2015,5,185.14,-0.86
2015,6,147.37,-38.63
2015,7,129.65,-56.35
2015,8,176.24,-9.76
