year,month,temperature,temp_anomaly
1990,1,24.65,-0.05
1990,2,24.71,0.01
1990,3,24.79,0.09
1990,4,25.16,0.46
1990,5,24.66,-0.04
1990,6,24.33,-0.37
1990,7,24.32,-0.38
1990,8,24.16,-0.54
1990,9,24.13,-0.57
1990,10,23.41,-1.29
1990,11,24.03,-0.67
1990,12,24.16,-0.54
1991,1,24.32,-0.38
1991,2,24.96,0.26
1991,3,25.06,0.36
1991,4,25.32,0.62
1991,5,25.07,0.37
1991,6,24.58,-0.12
1991,7,24.55,-0.15
1991,8,24.19,-0.51
1991,9,23.85,-0.85
1991,10,23.87,-0.83
1991,11,23.88,-0.82
1991,12,24.18,-0.52
1992,1,24.45,-0.25
1992,2,24.56,-0.14
1992,3,24.41,-0.29
1992,4,25.04,0.34
1992,5,24.97,0.27
1992,6,24.45,-0.25
1992,7,24.73,0.03
1992,8,24.96,0.26
1992,9,23.65,-1.05
1992,10,24.07,-0.63
1992,11,24.36,-0.34
1992,12,23.93,-0.77
1993,1,24.2,-0.5
1993,2,24.43,-0.27
1993,3,25.1,0.4
1993,4,24.86,0.16
1993,5,25.36,0.66
1993,6,24.58,-0.12
1993,7,24.55,-0.15
1993,8,24.43,-0.27
1993,9,23.82,-0.88
1993,10,24.22,-0.48
1993,11,23.89,-0.81
1993,12,23.87,-0.83
1994,1,24.62,-0.08
1994,2,24.51,-0.19
1994,3,25.19,0.49
1994,4,26.26,1.56
1994,5,24.89,0.19
1994,6,24.87,0.17
1994,7,24.62,-0.08
1994,8,24.03,-0.67
1994,9,23.56,-1.14
1994,10,24.16,-0.54
1994,11,23.81,-0.89
1994,12,24.25,-0.45
1995,1,25.26,0.56
1995,2,25.18,0.48
1995,3,25.19,0.49
1995,4,25.36,0.66
1995,5,24.93,0.23
1995,6,24.91,0.21
1995,7,24.65,-0.05
1995,8,24.26,-0.44
1995,9,24.28,-0.42
1995,10,23.94,-0.76
1995,11,24.46,-0.24
1995,12,24.47,-0.23
1996,1,25.03,0.33
1996,2,24.72,0.02
1996,3,25.47,0.77
1996,4,25.16,0.46
1996,5,25.11,0.41
1996,6,25.08,0.38
1996,7,24.65,-0.05
1996,8,24.13,-0.57
1996,9,23.97,-0.73
1996,10,24.22,-0.48
1996,11,23.78,-0.92
1996,12,23.98,-0.72
1997,1,24.93,0.23
1997,2,24.88,0.18
1997,3,25.26,0.56
1997,4,25.63,0.93
1997,5,25.18,0.48
1997,6,24.93,0.23
1997,7,24.94,0.24
1997,8,24.48,-0.22
1997,9,23.6,-1.1
1997,10,24.02,-0.68
1997,11,23.97,-0.73
1997,12,24.57,-0.13
1998,1,25.05,0.35
1998,2,24.81,0.11
1998,3,24.65,-0.05
1998,4,25.02,0.32
1998,5,25.0,0.3
1998,6,25.14,0.44
1998,7,24.8,0.1
1998,8,24.23,-0.47
1998,9,24.46,-0.24
1998,10,24.61,-0.09
1998,11,24.19,-0.51
1998,12,24.67,-0.03
1999,1,24.21,-0.49
1999,2,24.96,0.26
1999,3,25.27,0.57
1999,4,24.94,0.24
1999,5,25.0,0.3
1999,6,24.74,0.04
1999,7,24.52,-0.18
1999,8,24.54,-0.16
1999,9,24.21,-0.49
1999,10,23.53,-1.17
1999,11,25.22,0.52
1999,12,24.81,0.11
2000,1,24.56,-0.14
2000,2,24.68,-0.02
2000,3,25.64,0.94
2000,4,25.41,0.71
2000,5,24.76,0.06
2000,6,25.17,0.47
2000,7,24.76,0.06
2000,8,24.25,-0.45
2000,9,24.47,-0.23
2000,10,23.96,-0.74
2000,11,23.83,-0.87
2000,12,24.51,-0.19
2001,1,24.52,-0.18
2001,2,24.91,0.21
2001,3,24.47,-0.23
2001,4,25.04,0.34
2001,5,25.23,0.53
2001,6,24.98,0.28
2001,7,24.86,0.16
2001,8,25.15,0.45
2001,9,24.35,-0.35
2001,10,24.78,0.08
2001,11,23.9,-0.8
2001,12,24.87,0.17
2002,1,25.05,0.35
2002,2,24.79,0.09
2002,3,25.15,0.45
2002,4,25.01,0.31
2002,5,25.0,0.3
2002,6,24.68,-0.02
2002,7,25.53,0.83
2002,8,24.59,-0.11
2002,9,24.93,0.23
2002,10,24.7,0.0
2002,11,24.38,-0.32
2002,12,24.88,0.18
2003,1,25.07,0.37
2003,2,25.1,0.4
2003,3,24.45,-0.25
2003,4,25.31,0.61
2003,5,25.18,0.48
2003,6,24.74,0.04
2003,7,24.65,-0.05
2003,8,24.41,-0.29
2003,9,24.77,0.07
2003,10,23.7,-1.0
2003,11,24.67,-0.03
2003,12,24.96,0.26
2004,1,24.48,-0.22
2004,2,25.31,0.61
2004,3,25.46,0.76
2004,4,25.26,0.56
2004,5,25.13,0.43
2004,6,25.41,0.71
2004,7,24.91,0.21
2004,8,24.57,-0.13
2004,9,24.51,-0.19
2004,10,23.84,-0.86
2004,11,24.48,-0.22
2004,12,24.31,-0.39
2005,1,24.95,0.25
2005,2,25.42,0.72
2005,3,25.46,0.76
2005,4,25.16,0.46
2005,5,25.02,0.32
2005,6,25.91,1.21
2005,7,25.64,0.94
2005,8,24.6,-0.1
2005,9,24.65,-0.05
2005,10,24.21,-0.49
2005,11,24.42,-0.28
2005,12,24.81,0.11
2006,1,24.88,0.18
2006,2,24.65,-0.05
2006,3,25.01,0.31
2006,4,25.72,1.02
2006,5,25.36,0.66
2006,6,25.01,0.31
2006,7,25.33,0.63
2006,8,24.71,0.01
2006,9,24.49,-0.21
2006,10,24.72,0.02
2006,11,24.33,-0.37
2006,12,25.09,0.39
2007,1,24.91,0.21
2007,2,25.25,0.55
2007,3,25.34,0.64
2007,4,25.63,0.93
2007,5,25.17,0.47
2007,6,25.02,0.32
2007,7,25.35,0.65
2007,8,24.5,-0.2
2007,9,24.31,-0.39
2007,10,24.31,-0.39
2007,11,24.08,-0.62
2007,12,24.46,-0.24
2008,1,25.71,1.01
2008,2,25.04,0.34
2008,3,25.63,0.93
2008,4,25.6,0.9
2008,5,25.33,0.63
2008,6,25.24,0.54
2008,7,25.01,0.31
2008,8,24.71,0.01
2008,9,24.49,-0.21
2008,10,24.53,-0.17
2008,11,24.56,-0.14
2008,12,24.49,-0.21
2009,1,25.44,0.74
2009,2,25.21,0.51
2009,3,25.1,0.4
2009,4,25.69,0.99
2009,5,25.96,1.26
2009,6,24.9,0.2
2009,7,24.6,-0.1
2009,8,25.16,0.46
2009,9,24.73,0.03
2009,10,24.87,0.17
2009,11,24.34,-0.36
2009,12,25.27,0.57
2010,1,24.86,0.16
2010,2,24.52,-0.18
2010,3,25.43,0.73
2010,4,25.15,0.45
2010,5,25.13,0.43
2010,6,25.17,0.47
2010,7,25.02,0.32
2010,8,24.56,-0.14
2010,9,24.96,0.26
2010,10,24.56,-0.14
2010,11,24.47,-0.23
2010,12,24.88,0.18
2011,1,25.04,0.34
2011,2,25.31,0.61
2011,3,25.31,0.61
2011,4,26.0,1.3
2011,5,25.78,1.08
2011,6,25.26,0.56
2011,7,24.84,0.14
2011,8,24.89,0.19
2011,9,24.76,0.06
2011,10,24.41,-0.29
2011,11,24.2,-0.5
2011,12,25.12,0.42
2012,1,25.35,0.65
2012,2,25.15,0.45
2012,3,25.39,0.69
2012,4,26.17,1.47
2012,5,25.7,1.0
2012,6,25.32,0.62
2012,7,25.32,0.62
2012,8,24.9,0.2
2012,9,24.8,0.1
2012,10,24.23,-0.47
2012,11,24.66,-0.04
2012,12,24.91,0.21
2013,1,25.27,0.57
2013,2,24.98,0.28
2013,3,25.6,0.9
2013,4,25.7,1.0
2013,5,25.42,0.72
2013,6,25.74,1.04
2013,7,24.78,0.08
2013,8,24.18,-0.52
2013,9,24.94,0.24
2013,10,24.48,-0.22
2013,11,25.06,0.36
2013,12,24.99,0.29
2014,1,25.13,0.43
2014,2,25.33,0.63
2014,3,25.59,0.89
2014,4,26.02,1.32
2014,5,25.56,0.86
2014,6,24.95,0.25
2014,7,25.14,0.44
2014,8,24.72,0.02
2014,9,24.29,-0.41
2014,10,24.39,-0.31
2014,11,24.31,-0.39
2014,12,24.94,0.24
2015,1,24.96,0.26
2015,2,24.96,0.26
2015,3,25.73,1.03
2015,4,26.11,1.41
2015,5,25.57,0.87
2015,6,25.14,0.44
2015,7,25.49,0.79
2015,8,24.51,-0.19
2015,9,24.85,0.15
2015,10,24.35,-0.35
2015,11,24.36,-0.34
2015,12,24.78,0.08
2016,1,25.19,0.49
2016,2,25.35,0.65
2016,3,25.03,0.33
2016,4,25.8,1.1
2016,5,25.61,0.91
2016,6,25.37,0.67
2016,7,25.31,0.61
2016,8,24.63,-0.07
2016,9,25.13,0.43
2016,10,24.82,0.12
2016,11,24.73,0.03
2016,12,25.06,0.36
2017,1,25.63,0.93
2017,2,25.79,1.09
2017,3,25.42,0.72
2017,4,25.58,0.88
2017,5,24.84,0.14
2017,6,25.71,1.01
2017,7,25.0,0.3
2017,8,24.15,-0.55
2017,9,24.74,0.04
2017,10,24.85,0.15
2017,11,24.69,-0.01
