year,annual_burned_ha,annual_forest_loss_ha,cumulative_loss_ha,loss_percent_reserve,fire_count
2001,1353.16,764.72,764.72,0.0557,399
2002,1358.8,735.35,1500.07,0.0536,404
2003,1264.39,713.83,2213.9,0.052,368
2004,1143.89,645.82,2859.72,0.047,340
2005,1099.4,611.38,3471.1,0.0445,324
2006,1054.84,607.95,4079.05,0.0443,328
2007,1275.9,682.83,4761.88,0.0497,377
2008,1239.03,694.4,5456.28,0.0506,351
2009,1110.22,599.73,6056.01,0.0437,343
2010,1192.13,627.3,6683.31,0.0457,347
2011,1284.25,703.05,7386.36,0.0512,373
2012,1196.64,666.95,8053.31,0.0486,351
2013,843.41,467.07,8520.38,0.034,267
2014,1201.38,655.54,9175.92,0.0478,354
2015,982.02,540.63,9716.55,0.0394,305
2016,1343.1,727.56,10444.11,0.053,392
2017,1364.65,752.71,11196.82,0.0548,405
2018,818.78,447.42,11644.24,0.0326,235
2019,1195.67,654.94,12299.18,0.0477,366
2020,1071.64,582.88,12882.06,0.0425,347
2021,919.87,518.35,13400.41,0.0378,280
2022,955.31,524.41,13924.82,0.0382,268
2023,987.34,535.89,14460.71,0.039,300
2024,1458.86,809.96,15270.67,0.059,447
2025,989.66,539.34,15810.01,0.0393,293
2026,1241.46,686.19,16496.2,0.05,362
2027,987.87,503.19,16999.39,0.0367,285
2028,1070.3,583.08,17582.47,0.0425,311
2029,1125.62,617.05,18199.52,0.045,330
2030,1202.07,623.3,18822.82,0.0454,364
