year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,total_threat_index,overall_health_score
2000,1.5498751042566978,28.602238861251553,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,0.33023510568340636,85.83101628357744
2001,1.7162626811483082,28.493904709531165,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,0.5713276837804909,89.74659585456511
2002,1.5641218442991167,28.54604236785615,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,0.4681913979038871,85.6696559060624
2003,1.597871250707933,28.658810583311453,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,0.5644293697623287,79.58488857432738
2004,1.719952474013672,28.51299461384396,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,0.6780919471955829,69.83444128931819
2005,1.670624201680798,28.52977644163764,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,0.6579998524939856,77.88120610145221
2006,1.547211971280491,28.609224351070242,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,0.7583490112125915,79.44632365399065
2007,1.6833539905875674,28.587469360551417,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,0.181226621119714,91.86197361595671
2008,1.5351068956934308,28.545116298822933,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,0.6180984213151804,68.4590774745135
2009,1.7089118956637852,28.60556257589147,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,0.254125120308222,81.02841756224718
2010,1.6682786542468222,28.614028444921974,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,0.7116698994903903,76.8071763496136
2011,1.5753548751961213,28.516174754044627,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,0.7082329982740058,78.6584296296208
2012,1.5686947942965495,28.680243245827544,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,0.49461741665533,65.45915896351664
2013,1.629404705123489,28.596203232675574,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,0.5532321630586229,74.86750390799152
2014,1.6502747713584611,28.525756327391907,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,0.7178382768264217,64.83960812601148
2015,1.556982268051498,28.500483130441758,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,0.4781707471971245,93.47133174789073
2016,1.6806595174468204,28.533070524755633,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,0.4183445391428203,72.09625226661731
2017,1.5642728473815832,28.64716271024167,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,0.3187701674260704,85.76756047766317
2018,1.5602140182602708,28.573568150309676,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,0.4164499517026373,80.21943823916486
2019,1.5696526833963518,28.62932553432652,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,0.5908544118616811,86.26094544810815
2020,1.6771288742850472,28.515256975300293,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,0.6098051158541193,81.15368424171047
2021,1.6681511341572888,28.503333598960666,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,0.8923469838495921,88.8424562879883
2022,1.671270344311178,28.57348163527989,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,0.2434690164840049,93.2650873119666
2023,1.6658401650055408,28.582042977148376,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,0.8361268476743832,68.87331096015673
2024,1.594128905277818,28.610737916647004,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,0.3928688225625443,64.29708093101618
2025,1.6105897757596168,28.56908511700872,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,0.7494802665914777,63.153969490711056
2026,1.654738244619061,28.66836086550177,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,0.7542619148421605,89.51318189041635
2027,1.638577371665624,28.626770018286308,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,0.20052040390765002,75.77026158109692
2028,1.5788392369661812,28.4990769259986,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,0.4980226298902347,64.51030267965376
2029,1.688472282334539,28.504902149402426,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,0.8900587616233401,71.68049245081232
2030,1.6583303177897586,28.551283424146984,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,0.4966406241487852,85.21403924774765
