year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,habitat_zone,species_name,habitat_loss_ha,fragmentation_level,conservation_priority,threat_level,proximity_to_mining,proximity_to_logging
2000,1.6147033991779716,28.484782854278265,Ituri,Epulu,Okapi Wildlife Reserve,127.86,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,Core Reserve,Okapi,127.86,High,Very High,Critically Endangered,8.82,1.26
2000,1.6909531019521205,28.575254138234598,Ituri,Wamba,Okapi Wildlife Reserve,103.38,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,Core Reserve,Forest Elephant,103.38,High,Very High,Critically Endangered,5.88,9.83
2000,1.6797001832235046,28.669786388214654,Ituri,Wamba,Okapi Wildlife Reserve,123.42,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,Core Reserve,Chimpanzee,123.42,Medium,Very High,Critically Endangered,5.5,5.84
2000,1.546685092178561,28.539459064149323,Ituri,Wamba,Okapi Wildlife Reserve,135.16,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Grauer's Gorilla,135.16,High,Very High,Endangered,3.16,2.99
2001,1.6096856229801528,28.589160035473235,Ituri,Epulu,Okapi Wildlife Reserve,142.11,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,Core Reserve,Okapi,142.11,High,Very High,Vulnerable,2.9,8.62
2001,1.6516019297746476,28.652803475195633,Ituri,Mambasa,Okapi Wildlife Reserve,126.56,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,Core Reserve,Forest Elephant,126.56,Low,Very High,Endangered,5.28,7.1
2001,1.7130204196696166,28.637579434020775,Ituri,Wamba,Okapi Wildlife Reserve,159.97,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Chimpanzee,159.97,High,Very High,Critically Endangered,9.56,1.98
2001,1.5636102007010946,28.589684288089863,Ituri,Wamba,Okapi Wildlife Reserve,123.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,Core Reserve,Grauer's Gorilla,123.03,Low,Very High,Vulnerable,1.06,4.19
2002,1.6806726726173413,28.657272306447748,Ituri,Wamba,Okapi Wildlife Reserve,153.39,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,Core Reserve,Okapi,153.39,Medium,Very High,Endangered,9.28,7.82
2002,1.6023344738326035,28.62813406169277,Ituri,Mambasa,Okapi Wildlife Reserve,165.06,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,Core Reserve,Forest Elephant,165.06,High,Very High,Vulnerable,1.06,3.69
