year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,habitat_zone,species_name,habitat_loss_ha,fragmentation_level,conservation_priority,threat_level,proximity_to_mining,proximity_to_logging
2000,1.5759985858542105,28.65333839703389,Ituri,Wamba,Okapi Wildlife Reserve,102.59,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Core Reserve,Okapi,102.59,Low,Very High,Endangered,9.36,9.8
2000,1.6664357943213808,28.504094044794893,Ituri,Epulu,Okapi Wildlife Reserve,138.66,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Forest Elephant,138.66,High,Very High,Endangered,1.81,6.29
2000,1.6619696994400242,28.540601719178266,Ituri,Wamba,Okapi Wildlife Reserve,128.32,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Chimpanzee,128.32,Medium,Very High,Vulnerable,2.02,1.6
2000,1.6352990570221737,28.59797124401545,Ituri,Mambasa,Okapi Wildlife Reserve,131.03,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Grauer's Gorilla,131.03,High,Very High,Vulnerable,5.82,3.83
2001,1.618144105320724,28.645503927822126,Ituri,Mambasa,Okapi Wildlife Reserve,114.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Okapi,114.46,Low,Very High,Endangered,9.94,2.04
2001,1.7030337337655745,28.624291967691555,Ituri,Epulu,Okapi Wildlife Reserve,114.5,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Forest Elephant,114.5,Medium,Very High,Vulnerable,8.21,1.52
2001,1.6526824224712513,28.604629151117084,Ituri,Mambasa,Okapi Wildlife Reserve,158.14,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Chimpanzee,158.14,Medium,Very High,Vulnerable,7.47,9.44
2001,1.6358464795935956,28.497887928366488,Ituri,Mambasa,Okapi Wildlife Reserve,127.18,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,Core Reserve,Grauer's Gorilla,127.18,High,Very High,Critically Endangered,5.2,6.58
2002,1.587668314376068,28.575484001544357,Ituri,Wamba,Okapi Wildlife Reserve,164.62,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Okapi,164.62,Low,Very High,Critically Endangered,5.88,2.62
2002,1.7122451674434906,28.587276902329258,Ituri,Epulu,Okapi Wildlife Reserve,134.06,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Core Reserve,Forest Elephant,134.06,High,Very High,Vulnerable,1.37,3.7
2002,1.6892483759198451,28.673405619060244,Ituri,Epulu,Okapi Wildlife Reserve,163.0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Chimpanzee,163.0,Medium,Very High,Vulnerable,4.92,9.87
2002,1.7190460055403602,28.63886712430169,Ituri,Epulu,Okapi Wildlife Reserve,147.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Grauer's Gorilla,147.77,High,Very High,Vulnerable,4.5,3.81
2003,1.6858008135995908,28.595565145819993,Ituri,Mambasa,Okapi Wildlife Reserve,156.97,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Okapi,156.97,High,Very High,Endangered,3.13,8.66
2003,1.6812900482495834,28.656383866165697,Ituri,Wamba,Okapi Wildlife Reserve,133.56,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Core Reserve,Forest Elephant,133.56,Low,Very High,Vulnerable,7.76,4.49
2003,1.658811322428555,28.594771394521615,Ituri,Mambasa,Okapi Wildlife Reserve,157.79,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Chimpanzee,157.79,Low,Very High,Endangered,1.61,5.38
2003,1.585898130929378,28.533740508171423,Ituri,Wamba,Okapi Wildlife Reserve,169.79,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Core Reserve,Grauer's Gorilla,169.79,Medium,Very High,Critically Endangered,8.14,7.83
2004,1.5936209532935601,28.487392241364244,Ituri,Mambasa,Okapi Wildlife Reserve,178.77,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Core Reserve,Okapi,178.77,Low,Very High,Endangered,5.25,7.26
2004,1.565903392113881,28.602000224582145,Ituri,Mambasa,Okapi Wildlife Reserve,171.86,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Core Reserve,Forest Elephant,171.86,Medium,Very High,Endangered,9.0,9.41
2004,1.6627831000138396,28.616099575618133,Ituri,Mambasa,Okapi Wildlife Reserve,144.23,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,Core Reserve,Chimpanzee,144.23,Low,Very High,Vulnerable,4.56,2.17
2004,1.642200431737759,28.577286153915324,Ituri,Epulu,Okapi Wildlife Reserve,170.01,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,Core Reserve,Grauer's Gorilla,170.01,Low,Very High,Critically Endangered,3.81,2.99
2005,1.556697326940203,28.538771125982674,Ituri,Epulu,Okapi Wildlife Reserve,183.16,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Core Reserve,Okapi,183.16,High,Very High,Critically Endangered,9.25,6.38
2005,1.7158786524665743,28.603960885604494,Ituri,Epulu,Okapi Wildlife Reserve,178.76,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Core Reserve,Forest Elephant,178.76,Low,Very High,Endangered,2.21,8.29
