year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,biomass_lost_tons,above_ground_biomass_ha
2000,1.700379294577388,28.527207640530445,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,14893.456264156714,350
2001,1.7195805234200103,28.65879802602933,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,43251.68186922985,350
2002,1.6461274218438797,28.6623172271648,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,41309.52504258868,350
2003,1.5840503014255318,28.646193788483924,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,34529.47757506358,350
2004,1.6766590784673776,28.566790339425214,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,22080.112563626535,350
2005,1.6672567984353504,28.666582541846555,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,17175.135695946694,350
2006,1.6781085976205932,28.597157401179754,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,29123.988473322894,350
2007,1.5379837975154071,28.5341257270602,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,44946.98944054233,350
2008,1.5665068822910349,28.642693256964577,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,43129.34418038472,350
2009,1.616956077947975,28.60747791294392,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,46407.845080015766,350
2010,1.6430050755615675,28.588959608907306,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,10999.69124256709,350
2011,1.6223367988439066,28.65793128084691,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,34156.7590213356,350
2012,1.6576176707304187,28.495950956683412,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,16949.56856394507,350
2013,1.7082922069423947,28.498265184783236,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,12692.093752930918,350
2014,1.5476798305302712,28.601531882700744,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,40192.31216508422,350
2015,1.6351679935493517,28.63976487996053,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,41393.05934979548,350
2016,1.6519443350657708,28.630405518246214,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,46825.55121751404,350
