year,total_burned_area_ha,total_forest_loss_ha,fire_count,avg_frp
2001,1958.28,1084.63,377,43.42
2002,3167.25,1014.82,540,44.74
2003,6850.17,2923.13,1387,27.62
2004,6756.51,3028.62,1389,26.25
2005,7120.25,2391.66,1372,30.38
2006,985.42,568.56,206,29.05
2007,1868.95,730.61,376,44.77
2008,1856.86,1024.77,319,32.95
2009,2749.16,902.76,523,26.91
2010,3309.43,1296.91,755,25.39
2011,3396.44,1619.62,793,22.61
2012,2459.53,1050.58,431,42.19
2013,5842.61,2472.08,1112,42.54
2014,2954.78,1346.66,625,43.9
2015,7206.66,2329.53,1489,21.15
2016,3707.5,1483.6,884,28.27
2017,1331.84,686.11,256,39.38
2018,6333.49,2900.97,1373,23.47
2019,6790.92,2998.01,1321,33.75
2020,1919.69,1038.52,432,29.16
2021,5100.54,1647.26,1051,31.51
2022,6333.48,2733.59,1165,23.66
2023,3748.58,1713.1,865,23.75
2024,6070.21,2832.49,1183,22.02
2025,1872.94,1003.62,361,23.31
2026,6257.81,2847.46,1195,38.15
