id,year,type,mineral,operator,area_ha,forest_loss_ha,inside_owr,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,latitude,longitude,status,permit_id
PE-3710,2009,Industrial,Gold,Mwana Africa,764.14,694.68,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.5243942989126338,27.929919116503772,Active,PE-3710
PE-2818,2000,Industrial,Gold,Mwana Africa,774.48,704.08,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.6162907830092288,29.353283552207397,Active,PE-2818
PE-8104,2024,Industrial,Gold,AngloGold Ashanti,1061.55,965.04,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,2.004671457844726,27.765820145861593,Active,PE-8104
PE-1878,2007,Industrial,Gold,Mwana Africa,1535.6,1396.0,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.1105775970576737,29.481639585514195,Active,PE-1878
PE-5386,2008,Industrial,Gold,AngloGold Ashanti,1471.15,1337.41,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.6651076385211854,28.06361511224158,Active,PE-5386
PE-1047,2023,Industrial,Gold,Banro Corp,1158.75,1053.41,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.336072926605035,29.021283051007575,Active,PE-1047
PE-4268,2001,Industrial,Gold,Alphamin,832.79,757.09,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.8708699648812803,27.89437414033769,Active,PE-4268
PE-4626,2023,Industrial,Gold,Banro Corp,1098.55,998.68,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.5277450529668124,27.724710332459125,Active,PE-4626
PE-8280,2002,Industrial,Gold,Mwana Africa,1636.67,1487.88,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,2.1825703068572113,28.325368381093934,Active,PE-8280
PE-9166,2017,Industrial,Gold,AngloGold Ashanti,1097.73,997.94,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,2.022071746558758,28.33708827969644,Active,PE-9166
PE-6141,2018,Industrial,Gold,Alphamin,700.75,637.05,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,2.073827528081871,28.680805688549682,Active,PE-6141
PE-2362,2026,Industrial,Gold,Kibali Gold,977.21,888.37,True,Portail du Cadastre Minier de la RDC,Cadastre Minier (CAMI),https://drclicences.cami.cd/fr/,2026-05-15,Spatial Overlay & Polygon Synthesis,0.98,1.8612214217828071,29.692750167579415,Active,PE-2362
SITE-551,2021,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.4095928859160882,28.584991295655186,Mapped,SITE-551
SITE-980,2024,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.6155294077944231,28.82453541579075,Mapped,SITE-980
SITE-317,2009,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.964006111529639,28.78303989169158,Mapped,SITE-317
SITE-487,2011,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.46193352315276,28.317340267937873,Mapped,SITE-487
SITE-467,2017,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.104426939465048,28.563160017583836,Mapped,SITE-467
SITE-426,2009,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.252958890416842,28.985246078808984,Mapped,SITE-426
SITE-164,2007,Artisanal,Diamond,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.6493220501824368,27.85830402514612,Mapped,SITE-164
SITE-174,2018,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.3417043181956996,29.41102607969356,Mapped,SITE-174
SITE-459,2020,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.1050209145173588,28.779796777478392,Mapped,SITE-459
SITE-773,2015,Artisanal,3Ts,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,2.1744670555336683,28.18203024545415,Mapped,SITE-773
SITE-937,2006,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.6201007555643931,28.35563220929578,Mapped,SITE-937
SITE-959,2018,Artisanal,Gold,Artisanal Cooperatives,15.5,12.3,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Field Survey Integration,0.92,1.8855974137332832,27.88660881323693,Mapped,SITE-959
