year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,carbon_loss_tons,carbon_loss_per_ha,biomass_loss_ha,fire_related_emissions,logging_related_emissions,mining_related_emissions
2000,1.6387729528079868,28.533619802220777,Ituri,Wamba,Okapi Wildlife Reserve,285.02,2.8502,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,57004.09,197.62,285.02,11400.82,17101.23,8550.61
2001,1.589931573186464,28.605680678765857,Ituri,Wamba,Okapi Wildlife Reserve,275.03,2.7503,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,55006.01,208.77,275.03,11001.2,16501.8,8250.9
2002,1.7273205883394276,28.531084665709976,Ituri,Epulu,Okapi Wildlife Reserve,280.82,2.8082,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,56163.63,247.98,280.82,11232.73,16849.09,8424.54
2003,1.575202423609366,28.50668847868234,Ituri,Mambasa,Okapi Wildlife Reserve,299.57,2.9957,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,59914.73,220.87,299.57,11982.95,17974.42,8987.21
2004,1.6886406676830688,28.665862947723866,Ituri,Wamba,Okapi Wildlife Reserve,310.57,3.1057,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,62113.35,168.56,310.57,12422.67,18634.01,9317.0
2005,1.7142432421122658,28.629564225793445,Ituri,Mambasa,Okapi Wildlife Reserve,332.1,3.321,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,66420.63,165.56,332.1,13284.13,19926.19,9963.09
2006,1.6496495195448733,28.546831962671813,Ituri,Epulu,Okapi Wildlife Reserve,354.19,3.5419,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,70837.74,205.32,354.19,14167.55,21251.32,10625.66
2007,1.6611702219767572,28.635696496535918,Ituri,Wamba,Okapi Wildlife Reserve,337.01,3.3701,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,67401.31,153.04,337.01,13480.26,20220.39,10110.2
2008,1.5480864949274729,28.563208943599687,Ituri,Wamba,Okapi Wildlife Reserve,356.17,3.5617,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,71233.49,162.05,356.17,14246.7,21370.05,10685.02
2009,1.6030509536672124,28.492654137941436,Ituri,Mambasa,Okapi Wildlife Reserve,351.28,3.5128,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,70255.77,182.46,351.28,14051.15,21076.73,10538.37
2010,1.6933756493297087,28.577137129109676,Ituri,Epulu,Okapi Wildlife Reserve,364.99,3.6499,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,72998.47,247.71,364.99,14599.69,21899.54,10949.77
2011,1.571509397237224,28.552102713847578,Ituri,Wamba,Okapi Wildlife Reserve,397.19,3.9719,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,79437.08,159.67,397.19,15887.42,23831.12,11915.56
2012,1.6487190136377707,28.64483092223229,Ituri,Wamba,Okapi Wildlife Reserve,398.12,3.9812,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,79623.19,207.16,398.12,15924.64,23886.96,11943.48
2013,1.7224363073560356,28.549362599758595,Ituri,Mambasa,Okapi Wildlife Reserve,399.89,3.9989,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,79977.28,215.48,399.89,15995.46,23993.18,11996.59
2014,1.6983724825230946,28.55629829761406,Ituri,Wamba,Okapi Wildlife Reserve,428.83,4.2883,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,85766.86,164.03,428.83,17153.37,25730.06,12865.03
2015,1.7007261419412125,28.61648424541107,Ituri,Wamba,Okapi Wildlife Reserve,433.6,4.336,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,86719.37,221.39,433.6,17343.87,26015.81,13007.9
2016,1.7243550153015605,28.60038277038003,Ituri,Mambasa,Okapi Wildlife Reserve,432.05,4.3205,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,86409.79,172.53,432.05,17281.96,25922.94,12961.47
2017,1.6491005086414485,28.6751877830301,Ituri,Wamba,Okapi Wildlife Reserve,426.93,4.2693,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,85386.41,241.51,426.93,17077.28,25615.92,12807.96
2018,1.6664442334207747,28.596017404828984,Ituri,Epulu,Okapi Wildlife Reserve,460.34,4.6034,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,92068.59,168.2,460.34,18413.72,27620.58,13810.29
2019,1.6007686150690277,28.61310343494748,Ituri,Mambasa,Okapi Wildlife Reserve,447.64,4.4764,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,89528.11,220.2,447.64,17905.62,26858.43,13429.22
2020,1.5337156130642131,28.522117551080107,Ituri,Epulu,Okapi Wildlife Reserve,486.68,4.8668,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,97336.64,206.98,486.68,19467.33,29200.99,14600.5
2021,1.7057692961088604,28.574713676353703,Ituri,Epulu,Okapi Wildlife Reserve,501.06,5.0106,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,100211.8,244.16,501.06,20042.36,30063.54,15031.77
2022,1.7036759229711114,28.510189319210248,Ituri,Mambasa,Okapi Wildlife Reserve,500.46,5.0046,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,100091.82,178.33,500.46,20018.36,30027.55,15013.77
2023,1.6819162126091725,28.67812781936654,Ituri,Wamba,Okapi Wildlife Reserve,481.26,4.8126,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,96251.36,236.44,481.26,19250.27,28875.41,14437.7
2024,1.6051894271945566,28.679429702109058,Ituri,Wamba,Okapi Wildlife Reserve,537.02,5.3702,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,107403.74,209.08,537.02,21480.75,32221.12,16110.56
2025,1.583603735474117,28.638927976176657,Ituri,Mambasa,Okapi Wildlife Reserve,512.2,5.122,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,102440.17,221.11,512.2,20488.03,30732.05,15366.03
2026,1.6766736508467073,28.563039515892587,Ituri,Mambasa,Okapi Wildlife Reserve,524.42,5.2442,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,104883.97,245.54,524.42,20976.79,31465.19,15732.6
2027,1.536692086996336,28.677906606324104,Ituri,Epulu,Okapi Wildlife Reserve,538.06,5.3806,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,107611.58,227.93,538.06,21522.32,32283.47,16141.74
2028,1.6193011735547695,28.637820172523796,Ituri,Wamba,Okapi Wildlife Reserve,561.78,5.6178,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,112355.08,243.88,561.78,22471.02,33706.52,16853.26
2029,1.5882267058218085,28.59210263549915,Ituri,Mambasa,Okapi Wildlife Reserve,549.18,5.4918,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,109835.86,244.37,549.18,21967.17,32950.76,16475.38
2030,1.5467017810940944,28.64258619598718,Ituri,Wamba,Okapi Wildlife Reserve,590.13,5.9013,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,118025.86,165.26,590.13,23605.17,35407.76,17703.88
