year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,carbon_loss_tons,carbon_loss_per_ha,biomass_loss_ha,fire_related_emissions,logging_related_emissions,mining_related_emissions
2000,1.5470813486763793,28.667777980190834,Ituri,Mambasa,Okapi Wildlife Reserve,252.16,2.5216,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,50432.14,214.42,252.16,10086.43,15129.64,7564.82
2001,1.714637945149442,28.485062152220372,Ituri,Mambasa,Okapi Wildlife Reserve,305.25,3.0525,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,61049.09,218.9,305.25,12209.82,18314.73,9157.36
2002,1.7008994591229218,28.602490987929524,Ituri,Epulu,Okapi Wildlife Reserve,273.78,2.7378,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,54756.05,160.88,273.78,10951.21,16426.82,8213.41
2003,1.7096327125982382,28.63409874185523,Ituri,Mambasa,Okapi Wildlife Reserve,325.7,3.257,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,65140.07,244.87,325.7,13028.01,19542.02,9771.01
2004,1.70958452718687,28.678397559829875,Ituri,Mambasa,Okapi Wildlife Reserve,338.8,3.388,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,67759.46,182.01,338.8,13551.89,20327.84,10163.92
2005,1.5670207748432305,28.61888356143809,Ituri,Epulu,Okapi Wildlife Reserve,316.18,3.1618,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,63236.21,162.29,316.18,12647.24,18970.86,9485.43
2006,1.6454503880661484,28.564414135543398,Ituri,Epulu,Okapi Wildlife Reserve,323.99,3.2399,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,64797.36,162.56,323.99,12959.47,19439.21,9719.6
2007,1.7287394814848172,28.48762374667211,Ituri,Epulu,Okapi Wildlife Reserve,356.9,3.569,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,71379.98,188.83,356.9,14276.0,21413.99,10707.0
2008,1.708542350477063,28.57154850334032,Ituri,Epulu,Okapi Wildlife Reserve,361.2,3.612,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,72239.12,218.89,361.2,14447.82,21671.74,10835.87
2009,1.5404018465711016,28.609118425429212,Ituri,Epulu,Okapi Wildlife Reserve,358.13,3.5813,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,71626.3,189.54,358.13,14325.26,21487.89,10743.94
2010,1.6496050519378074,28.52833478395751,Ituri,Epulu,Okapi Wildlife Reserve,355.39,3.5539,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,71078.2,230.17,355.39,14215.64,21323.46,10661.73
2011,1.6708088548108146,28.51441003060991,Ituri,Mambasa,Okapi Wildlife Reserve,364.78,3.6478,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,72956.57,244.01,364.78,14591.31,21886.97,10943.49
2012,1.615898008924181,28.657718854851534,Ituri,Wamba,Okapi Wildlife Reserve,372.99,3.7299,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,74598.96,244.9,372.99,14919.79,22379.69,11189.84
2013,1.6678037757593356,28.519487510042435,Ituri,Wamba,Okapi Wildlife Reserve,398.16,3.9816,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,79632.92,169.87,398.16,15926.58,23889.88,11944.94
