year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,fire_id,year_active,burned_area_ha,fire_severity,vegetation_type,carbon_emission_estimate,recurrence_frequency,distance_to_settlement
2000,1.546232555599997,28.59396687743764,Ituri,Wamba,Okapi Wildlife Reserve,224.97,2.2497,-0.54,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2000-0,2000,224.97,High,Savannah,3487.01,5,8.13
2000,1.550519977518929,28.498509782256242,Ituri,Mambasa,Okapi Wildlife Reserve,117.56,1.1756,9.53,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2000-1,2000,117.56,Moderate,Savannah,1822.12,4,7.15
2000,1.6974365160657792,28.523382778019847,Ituri,Mambasa,Okapi Wildlife Reserve,246.14,2.4614,1.14,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2000-2,2000,246.14,High,Savannah,3815.24,2,14.17
2000,1.5575748879728102,28.48767514381266,Ituri,Wamba,Okapi Wildlife Reserve,54.47,0.5447,1.85,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2000-3,2000,54.47,Low,Degraded Forest,844.28,5,14.17
2000,1.671388231876912,28.50670578909288,Ituri,Mambasa,Okapi Wildlife Reserve,235.42,2.3542,-8.75,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2000-4,2000,235.42,Moderate,Degraded Forest,3649.08,1,8.36
2001,1.6964944582201966,28.506869938939516,Ituri,Wamba,Okapi Wildlife Reserve,84.85,0.8485,-8.49,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2001-0,2001,84.85,High,Savannah,1315.21,4,8.15
2001,1.6822119998670495,28.498038098046784,Ituri,Epulu,Okapi Wildlife Reserve,148.18,1.4818,-1.14,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-06-09,F-2001-1,2001,148.18,High,Primary Forest,2296.83,5,5.7
2001,1.664883434839945,28.515913034796068,Ituri,Mambasa,Okapi Wildlife Reserve,238.08,2.3808,-6.91,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2001-2,2001,238.08,Low,Primary Forest,3690.25,5,10.91
2001,1.713450391851653,28.55892177046196,Ituri,Epulu,Okapi Wildlife Reserve,92.61,0.9261,0.86,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2001-3,2001,92.61,Moderate,Savannah,1435.51,1,8.28
2001,1.6615887887888798,28.66955573642826,Ituri,Mambasa,Okapi Wildlife Reserve,51.78,0.5178,-3.61,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2001-4,2001,51.78,Low,Primary Forest,802.54,5,5.92
2001,1.6640849211490176,28.664103939611767,Ituri,Epulu,Okapi Wildlife Reserve,187.8,1.878,-0.33,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2001-5,2001,187.8,Moderate,Savannah,2910.93,1,3.6
2001,1.7230635410404103,28.537110039017477,Ituri,Epulu,Okapi Wildlife Reserve,144.81,1.4481,4.56,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2001-6,2001,144.81,High,Degraded Forest,2244.49,5,2.8
2001,1.6463383228879056,28.51099450547248,Ituri,Mambasa,Okapi Wildlife Reserve,223.64,2.2364,3.83,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,F-2001-7,2001,223.64,Low,Primary Forest,3466.35,3,10.52
2002,1.55546717878421,28.574707960347684,Ituri,Wamba,Okapi Wildlife Reserve,131.31,1.3131,5.03,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2002-0,2002,131.31,Moderate,Degraded Forest,2035.31,4,1.08
2002,1.6572044105746442,28.617028106439317,Ituri,Mambasa,Okapi Wildlife Reserve,180.32,1.8032,1.56,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2002-1,2002,180.32,High,Primary Forest,2794.95,1,7.0
2002,1.6736289046938437,28.552289892675308,Ituri,Mambasa,Okapi Wildlife Reserve,205.23,2.0523,1.73,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2002-2,2002,205.23,Moderate,Degraded Forest,3181.0,1,12.0
2002,1.6223151526402035,28.654863101420734,Ituri,Wamba,Okapi Wildlife Reserve,118.5,1.185,9.09,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2002-3,2002,118.5,High,Degraded Forest,1836.69,3,15.0
2002,1.6920113809977977,28.577290977279603,Ituri,Mambasa,Okapi Wildlife Reserve,219.98,2.1998,4.77,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2002-4,2002,219.98,High,Savannah,3409.71,3,4.18
2002,1.6732457598004125,28.672249161837343,Ituri,Mambasa,Okapi Wildlife Reserve,181.82,1.8182,-1.78,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2002-5,2002,181.82,Low,Savannah,2818.21,2,5.28
2003,1.619741133789902,28.649706612164593,Ituri,Wamba,Okapi Wildlife Reserve,67.88,0.6788,3.48,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2003-0,2003,67.88,High,Degraded Forest,1052.09,2,13.42
2003,1.5659261792266363,28.563805853944327,Ituri,Mambasa,Okapi Wildlife Reserve,232.64,2.3264,-0.85,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,F-2003-1,2003,232.64,Low,Savannah,3605.98,5,2.2
2003,1.593064721375495,28.668986252383423,Ituri,Epulu,Okapi Wildlife Reserve,113.52,1.1352,4.4,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2003-2,2003,113.52,Low,Degraded Forest,1759.55,1,8.6
2004,1.607776809736631,28.56237017057038,Ituri,Wamba,Okapi Wildlife Reserve,107.94,1.0794,-3.28,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2004-0,2004,107.94,High,Primary Forest,1673.04,4,12.57
2004,1.6976740393671528,28.49144729449812,Ituri,Wamba,Okapi Wildlife Reserve,153.55,1.5355,-5.19,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2004-1,2004,153.55,High,Primary Forest,2379.96,5,11.65
2004,1.6304767691050217,28.618490376306994,Ituri,Wamba,Okapi Wildlife Reserve,184.57,1.8457,5.37,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2004-2,2004,184.57,High,Primary Forest,2860.83,4,5.08
2004,1.5431872132491427,28.530595208827595,Ituri,Mambasa,Okapi Wildlife Reserve,158.53,1.5853,-8.15,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2004-3,2004,158.53,Moderate,Savannah,2457.28,2,8.32
2004,1.6197839415899096,28.665088074560344,Ituri,Mambasa,Okapi Wildlife Reserve,67.03,0.6703,-4.54,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2004-4,2004,67.03,Moderate,Primary Forest,1039.03,5,14.02
2005,1.5859869142160985,28.529926225713858,Ituri,Epulu,Okapi Wildlife Reserve,223.17,2.2317,9.15,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2005-0,2005,223.17,Low,Primary Forest,3459.12,5,10.0
2005,1.690415233474268,28.495105527793374,Ituri,Epulu,Okapi Wildlife Reserve,229.73,2.2973,2.19,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,F-2005-1,2005,229.73,Moderate,Savannah,3560.75,5,1.43
2005,1.6142021322301163,28.66719199418398,Ituri,Mambasa,Okapi Wildlife Reserve,233.02,2.3302,-1.21,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2005-2,2005,233.02,High,Savannah,3611.75,2,2.69
2005,1.6615645367220528,28.51743299955713,Ituri,Mambasa,Okapi Wildlife Reserve,207.43,2.0743,1.18,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,F-2005-3,2005,207.43,Moderate,Degraded Forest,3215.23,4,8.72
2005,1.6900176224456118,28.60174187621236,Ituri,Mambasa,Okapi Wildlife Reserve,243.04,2.4304,2.63,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,F-2005-4,2005,243.04,High,Primary Forest,3767.14,3,14.53
2005,1.7257853566747179,28.659030924146712,Ituri,Wamba,Okapi Wildlife Reserve,96.03,0.9603,-5.86,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-06-09,F-2005-5,2005,96.03,High,Primary Forest,1488.51,4,11.92
2006,1.6188959538058325,28.540546059724143,Ituri,Wamba,Okapi Wildlife Reserve,104.87,1.0487,1.31,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2006-0,2006,104.87,High,Degraded Forest,1625.48,5,1.26
2006,1.6433192783513937,28.60356924326745,Ituri,Epulu,Okapi Wildlife Reserve,184.57,1.8457,-5.79,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2006-1,2006,184.57,Moderate,Savannah,2860.85,1,9.16
2006,1.7319999415545377,28.61429573258003,Ituri,Mambasa,Okapi Wildlife Reserve,178.61,1.7861,-3.24,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2006-2,2006,178.61,Moderate,Savannah,2768.48,1,9.83
2007,1.6215415333024952,28.558798587719235,Ituri,Epulu,Okapi Wildlife Reserve,76.17,0.7617,-3.35,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2007-0,2007,76.17,Moderate,Savannah,1180.56,2,7.74
2007,1.7121771825408445,28.590227765143602,Ituri,Mambasa,Okapi Wildlife Reserve,204.86,2.0486,-7.18,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,F-2007-1,2007,204.86,Moderate,Degraded Forest,3175.27,2,1.53
2008,1.5386095294093227,28.608481548487568,Ituri,Epulu,Okapi Wildlife Reserve,165.66,1.6566,-6.01,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2008-0,2008,165.66,Low,Degraded Forest,2567.66,2,5.14
2008,1.5881820903322539,28.575143500550748,Ituri,Mambasa,Okapi Wildlife Reserve,171.43,1.7143,-9.33,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,F-2008-1,2008,171.43,High,Savannah,2657.1,4,9.67
2008,1.7010477368324115,28.501900751508963,Ituri,Wamba,Okapi Wildlife Reserve,229.75,2.2975,-2.89,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2008-2,2008,229.75,High,Savannah,3561.16,4,2.61
2008,1.7270612244096795,28.516993884556783,Ituri,Wamba,Okapi Wildlife Reserve,115.37,1.1537,-0.1,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-06-09,F-2008-3,2008,115.37,Moderate,Degraded Forest,1788.3,5,14.23
2008,1.591425339016955,28.66768757057866,Ituri,Epulu,Okapi Wildlife Reserve,224.4,2.244,7.49,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,F-2008-4,2008,224.4,Moderate,Primary Forest,3478.25,1,5.55
2009,1.6758207164610384,28.524641481231885,Ituri,Mambasa,Okapi Wildlife Reserve,160.59,1.6059,-9.77,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,F-2009-0,2009,160.59,Moderate,Savannah,2489.18,5,12.47
2009,1.663924597271461,28.49770976159708,Ituri,Mambasa,Okapi Wildlife Reserve,80.41,0.8041,-1.82,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,F-2009-1,2009,80.41,Low,Degraded Forest,1246.37,4,12.31
2009,1.566182815180629,28.650486538337823,Ituri,Epulu,Okapi Wildlife Reserve,99.06,0.9906,-9.38,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,F-2009-2,2009,99.06,High,Primary Forest,1535.51,5,9.23
