year,month,fire_type,severity,burned_area_ha,forest_loss_ha,cumulative_loss_ha,cumulative_loss_percent,confidence,source,frp,latitude,longitude
2001,1,Agricultural fire,High,5.01,2.43,2.43,0.0002,100,MODIS,58.18,1.205144394464243,29.092778258651112
2001,1,Hunting/fire camp,High,4.18,2.16,4.59,0.0003,96,MODIS,52.48,1.1528926347451685,28.41926783596594
2001,1,Agricultural fire,Moderate,1.23,0.81,5.4,0.0004,79,MODIS,58.76,2.343341591574056,28.25433903506614
2001,1,Agricultural fire,High,3.21,1.57,6.97,0.0005,84,VIIRS,65.96,2.103929938725633,28.12888770461617
2001,1,Wildfire/natural vegetation fire,Extreme,2.51,1.28,8.25,0.0006,96,VIIRS,121.93,1.5675770771499822,29.066592859234017
2001,1,Charcoal production,High,5.14,4.29,12.54,0.0009,99,VIIRS,50.56,1.535933020198882,28.89097352109424
2001,1,Agricultural fire,High,2.06,0.88,13.42,0.001,88,MODIS,76.1,1.1017074501135462,28.259256311066217
2001,1,Wildfire/natural vegetation fire,Extreme,5.81,2.69,16.11,0.0012,93,VIIRS,111.18,1.7090892996335454,28.061732141717258
2001,1,Wildfire/natural vegetation fire,Extreme,5.85,3.53,19.64,0.0014,72,VIIRS,123.08,1.527895859418691,28.273739155407696
2001,1,Hunting/fire camp,Moderate,1.97,0.62,20.26,0.0015,68,VIIRS,43.28,2.0043543729718287,29.081399583189928
2001,1,Agricultural fire,High,4.35,2.06,22.32,0.0016,79,MODIS,70.85,2.0202372591034266,28.62186214207445
2001,1,Wildfire/natural vegetation fire,Extreme,0.7,0.62,22.94,0.0017,73,MODIS,103.17,2.208277127088829,28.66883725574349
2001,1,Wildfire/natural vegetation fire,Extreme,5.37,1.1,24.04,0.0018,89,VIIRS,146.63,2.0357413418664296,29.112514388444044
2001,1,Settlement-related fire,Low,1.43,0.31,24.35,0.0018,83,MODIS,19.36,2.120272733493966,28.47307075753487
2001,1,Wildfire/natural vegetation fire,Extreme,4.16,1.8,26.15,0.0019,93,VIIRS,135.1,1.232748914445954,28.143225087776873
2001,1,Wildfire/natural vegetation fire,Extreme,1.43,0.51,26.66,0.0019,80,MODIS,146.6,1.8497492949307026,28.627203781848277
2001,1,Wildfire/natural vegetation fire,Extreme,4.47,3.88,30.54,0.0022,60,MODIS,109.03,1.2269693970704774,28.415790564370273
2001,1,Agricultural fire,Moderate,2.0,1.27,31.81,0.0023,63,MODIS,45.64,1.3275028160429474,28.073168636673103
2001,1,Agricultural fire,High,3.8,1.91,33.72,0.0025,81,MODIS,78.15,1.6594780846890738,28.582111721836053
2001,1,Wildfire/natural vegetation fire,High,3.37,2.04,35.76,0.0026,76,MODIS,93.43,2.0519507613205903,28.046683751730015
2001,1,Wildfire/natural vegetation fire,Extreme,4.66,2.52,38.28,0.0028,80,VIIRS,111.06,2.0092365362773412,28.597710526604875
2001,1,Agricultural fire,Moderate,3.24,2.42,40.7,0.003,73,MODIS,41.16,2.4572390574857055,29.173105274016663
2001,1,Agricultural fire,Moderate,3.6,2.42,43.12,0.0031,84,MODIS,48.69,1.7669817826721912,28.1643950938003
2001,1,Agricultural fire,Moderate,1.54,0.38,43.5,0.0032,69,MODIS,57.33,1.7763078828295806,28.76653795761779
2001,1,Agricultural fire,Moderate,3.91,1.73,45.23,0.0033,72,VIIRS,34.55,1.0016443266974566,28.07226485790979
2001,1,Agricultural fire,Extreme,5.94,1.58,46.81,0.0034,76,MODIS,19.07,2.312402481676144,28.391149785583394
2001,1,Agricultural fire,High,4.78,1.91,48.72,0.0035,85,VIIRS,48.6,2.2647228441712173,29.125906933364234
2001,1,Wildfire/natural vegetation fire,High,0.82,0.36,49.08,0.0036,65,MODIS,89.96,1.1018683251288386,28.597720343996
2001,1,Wildfire/natural vegetation fire,Extreme,0.94,0.22,49.3,0.0036,80,MODIS,106.94,1.2393912693127842,28.595216522938404
2001,1,Wildfire/natural vegetation fire,Extreme,2.11,1.01,50.31,0.0037,66,VIIRS,124.58,1.2922102077163182,29.198513012749324
2001,1,Wildfire/natural vegetation fire,Extreme,4.39,2.4,52.71,0.0038,81,MODIS,142.19,1.598253813372503,28.622568982850222
2001,1,Wildfire/natural vegetation fire,High,4.72,2.77,55.48,0.004,73,MODIS,87.38,2.28591662199704,28.26330047654095
2001,1,Agricultural fire,Extreme,5.74,1.72,57.2,0.0042,92,MODIS,5.71,2.1742966622986977,28.362203379715655
2001,1,Agricultural fire,High,4.77,1.63,58.83,0.0043,97,VIIRS,76.73,1.128146753398946,28.962859370946397
