year,month,latitude,longitude,source,confidence,frp,burned_area_ha,forest_loss_ha
2001,1,2.3376836644575314,28.481154659661517,VIIRS,90,76.16,2.17,0.95
2001,1,1.9396488711258701,28.389503025346844,VIIRS,63,34.68,5.09,1.19
2001,1,2.2457104243370507,28.28942726049881,VIIRS,94,73.45,1.4,0.36
2001,1,1.902172308947523,28.018702542912102,VIIRS,74,130.79,1.78,1.02
2001,1,2.365951558922783,29.092165689532383,VIIRS,95,101.03,1.23,0.88
2001,1,1.7791077955923429,28.63682870491518,MODIS,82,20.56,3.86,1.76
2001,1,1.9706493027476144,28.657117504106626,VIIRS,68,49.53,3.13,1.99
2001,1,1.7546962077826849,28.47535918135289,MODIS,96,40.34,3.48,1.01
2001,1,1.094999828155588,28.228656097891818,VIIRS,64,93.93,4.65,2.06
2001,1,2.4294016016197393,28.443062063104318,MODIS,75,37.89,4.94,2.55
2001,1,1.7169368337180355,28.23304932934585,MODIS,77,54.53,1.71,0.67
2001,1,2.070528806697345,28.8764977789809,VIIRS,62,19.54,5.61,3.87
2001,1,1.9909426253232583,29.158504935057206,VIIRS,85,139.39,4.07,2.62
2001,1,1.4124970817907385,28.286566787288976,MODIS,96,26.88,1.25,0.32
2001,1,1.7842352641832888,29.163747411101717,VIIRS,74,127.57,3.73,2.21
2001,1,2.0098614818096463,28.72182148388878,VIIRS,81,39.5,5.24,1.64
2001,1,1.8619826143180314,29.172585657881733,MODIS,61,104.58,3.16,0.64
2001,1,2.0806358192290073,28.656473228892064,VIIRS,78,83.1,4.98,1.58
2001,1,2.2645529708612258,28.093173493579847,MODIS,82,112.65,2.2,0.38
2001,1,1.3239369955465685,28.365678218672556,MODIS,87,76.65,4.26,1.89
2001,1,1.5553470293740836,28.051491942971918,MODIS,100,90.7,1.85,1.25
2001,1,1.9193549705822226,28.656207033738294,MODIS,69,102.88,4.84,2.84
2001,1,2.026918219775406,28.824971556702575,MODIS,94,87.1,3.68,1.76
2001,1,2.3344191106426333,28.19457656897508,MODIS,96,13.13,1.85,0.38
2001,1,2.368830501477805,28.588006904989268,MODIS,98,15.25,5.13,2.08
2001,1,2.298581462059121,28.247190279715987,MODIS,76,42.58,4.42,1.4
2001,1,1.374956764656934,28.500690078592545,VIIRS,80,91.78,1.79,0.34
2001,1,1.4349726304408026,28.07073316035796,VIIRS,94,123.16,6.09,1.25
