year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,fire_id,year_active,burned_area_ha,fire_severity,vegetation_type,carbon_emission_estimate,recurrence_frequency,distance_to_settlement
2000,1.5642032529267857,28.572710038368353,Ituri,Wamba,Okapi Wildlife Reserve,145.0,1.45,9.04,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,F-2000-0,2000,145.0,Moderate,Degraded Forest,2247.48,1,1.76
2000,1.6092263980392163,28.50365578509503,Ituri,Wamba,Okapi Wildlife Reserve,241.28,2.4128,8.85,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,F-2000-1,2000,241.28,Low,Primary Forest,3739.91,3,11.98
2000,1.6247115895591264,28.646278168772394,Ituri,Mambasa,Okapi Wildlife Reserve,61.98,0.6198,-0.94,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,F-2000-2,2000,61.98,High,Primary Forest,960.68,4,3.01
2000,1.6679242476910312,28.4969658109004,Ituri,Wamba,Okapi Wildlife Reserve,238.51,2.3851,3.59,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,F-2000-3,2000,238.51,High,Primary Forest,3696.91,2,9.11
2000,1.7287115365739343,28.5077183137889,Ituri,Epulu,Okapi Wildlife Reserve,86.84,0.8684,7.23,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,F-2000-4,2000,86.84,Low,Savannah,1346.0,2,8.92
2000,1.706152747051872,28.510378305641197,Ituri,Wamba,Okapi Wildlife Reserve,105.95,1.0595,6.76,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,F-2000-5,2000,105.95,Low,Degraded Forest,1642.23,5,8.7
2000,1.549850998224223,28.53145208999278,Ituri,Mambasa,Okapi Wildlife Reserve,151.32,1.5132,-2.7,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,F-2000-6,2000,151.32,Low,Savannah,2345.49,3,13.75
2001,1.5797843211776876,28.562598368915403,Ituri,Mambasa,Okapi Wildlife Reserve,96.95,0.9695,-9.48,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,F-2001-0,2001,96.95,Low,Primary Forest,1502.67,3,5.02
2001,1.5403767862822568,28.664646624912063,Ituri,Epulu,Okapi Wildlife Reserve,117.33,1.1733,2.62,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.98,2026-05-15,F-2001-1,2001,117.33,Moderate,Savannah,1818.63,2,4.56
2002,1.6180700528623662,28.611866250981226,Ituri,Wamba,Okapi Wildlife Reserve,247.85,2.4785,-6.41,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,F-2002-0,2002,247.85,Low,Savannah,3841.62,3,10.72
