year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,annual_forest_loss_ha,cumulative_loss_ha,remaining_forest_ha,percent_loss,forest_fragmentation_index,primary_forest_loss_ha,degradation_intensity
2000,1.627630960181188,28.60315060415603,Ituri,Mambasa,Okapi Wildlife Reserve,2178.34,21.78,0.1587,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,2178.34,0,1372625,0.0,0.17,1742.67,Low
2001,1.7095693882371932,28.502854653366295,Ituri,Mambasa,Okapi Wildlife Reserve,2415.68,24.16,0.176,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,2415.68,3000,1369625,0.22,0.3,1932.54,High
2002,1.6809729280259578,28.536354760233454,Ituri,Epulu,Okapi Wildlife Reserve,2629.42,26.29,0.1916,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,2629.42,6000,1366625,0.44,0.25,2103.53,Medium
2003,1.6284414918144299,28.643218985623694,Ituri,Mambasa,Okapi Wildlife Reserve,2451.21,24.51,0.1786,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,2451.21,9000,1363625,0.66,0.23,1960.97,Medium
2004,1.5768428794428009,28.57940482979778,Ituri,Epulu,Okapi Wildlife Reserve,2763.06,27.63,0.2013,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,2763.06,12000,1360625,0.87,0.32,2210.45,Low
2005,1.6105406237434527,28.541661168026398,Ituri,Epulu,Okapi Wildlife Reserve,3222.42,32.22,0.2348,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,3222.42,15000,1357625,1.09,0.34,2577.93,Medium
2006,1.550944208187908,28.58180587976359,Ituri,Epulu,Okapi Wildlife Reserve,3111.07,31.11,0.2267,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-06-09,3111.07,18000,1354625,1.31,0.24,2488.85,Low
2007,1.6340427608737063,28.59176611913599,Ituri,Mambasa,Okapi Wildlife Reserve,3297.51,32.98,0.2402,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,3297.51,21000,1351625,1.53,0.33,2638.01,High
2008,1.6306018027705316,28.609457040546435,Ituri,Epulu,Okapi Wildlife Reserve,3436.08,34.36,0.2503,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,3436.08,24000,1348625,1.75,0.36,2748.87,Low
2009,1.6311115481401992,28.531083468103326,Ituri,Mambasa,Okapi Wildlife Reserve,3403.79,34.04,0.248,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,3403.79,27000,1345625,1.97,0.31,2723.03,Low
2010,1.5886345618462234,28.64670853333495,Ituri,Mambasa,Okapi Wildlife Reserve,3762.19,37.62,0.2741,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,3762.19,30000,1342625,2.19,0.33,3009.75,High
2011,1.6553664653191842,28.4847298805707,Ituri,Wamba,Okapi Wildlife Reserve,4053.78,40.54,0.2953,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,4053.78,33000,1339625,2.4,0.13,3243.03,High
