year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,annual_forest_loss_ha,cumulative_loss_ha,remaining_forest_ha,percent_loss,forest_fragmentation_index,primary_forest_loss_ha,degradation_intensity
2000,1.6713217365191597,28.58160669418431,Ituri,Mambasa,Okapi Wildlife Reserve,2450.75,24.51,0.1785,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,2450.75,0,1372625,0.0,0.25,1960.6,Medium
2001,1.6149743127755853,28.51322257572665,Ituri,Epulu,Okapi Wildlife Reserve,2404.09,24.04,0.1751,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,2404.09,3000,1369625,0.22,0.39,1923.27,Medium
2002,1.6530484402432075,28.499459673853636,Ituri,Wamba,Okapi Wildlife Reserve,2661.31,26.61,0.1939,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,2661.31,6000,1366625,0.44,0.31,2129.05,High
2003,1.645120282686105,28.50335800160573,Ituri,Mambasa,Okapi Wildlife Reserve,2713.73,27.14,0.1977,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,2713.73,9000,1363625,0.66,0.34,2170.99,High
2004,1.732064542083107,28.544745405343416,Ituri,Epulu,Okapi Wildlife Reserve,2631.41,26.31,0.1917,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,2631.41,12000,1360625,0.87,0.31,2105.13,Medium
2005,1.5771276633467552,28.55001658793364,Ituri,Wamba,Okapi Wildlife Reserve,2802.47,28.02,0.2042,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,2802.47,15000,1357625,1.09,0.23,2241.97,High
2006,1.6481238268482798,28.62531566674959,Ituri,Mambasa,Okapi Wildlife Reserve,3266.09,32.66,0.2379,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,3266.09,18000,1354625,1.31,0.19,2612.87,High
2007,1.6883360048341574,28.570782668889336,Ituri,Epulu,Okapi Wildlife Reserve,3148.76,31.49,0.2294,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,3148.76,21000,1351625,1.53,0.12,2519.01,High
2008,1.6617598598334569,28.570123219499877,Ituri,Epulu,Okapi Wildlife Reserve,3367.29,33.67,0.2453,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,3367.29,24000,1348625,1.75,0.1,2693.83,High
2009,1.568772016774383,28.522267190085532,Ituri,Mambasa,Okapi Wildlife Reserve,3428.07,34.28,0.2497,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,3428.07,27000,1345625,1.97,0.18,2742.46,High
