year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,hotspot_id,year_detected,logging_area_ha,logging_density,distance_to_road,forest_type,suspected_illegal_activity,hotspot_risk_level
2000,1.9263187052325832,29.75067675139622,Ituri,Mambasa,Okapi Wildlife Reserve,39.74,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,L-2000-000,2000,39.74,Low,2.0,Primary Tropical Forest,True,5
2000,2.098480655548572,28.646605130336898,Ituri,Wamba,Okapi Wildlife Reserve,38.12,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,L-2000-001,2000,38.12,Low,3.88,Primary Tropical Forest,True,3
2000,2.1688723922602904,28.134511894298228,Ituri,Epulu,Okapi Wildlife Reserve,29.15,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,L-2000-002,2000,29.15,Low,2.79,Primary Tropical Forest,True,3
2000,2.3565033817974284,29.057742270675053,Ituri,Wamba,Okapi Wildlife Reserve,48.85,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,L-2000-003,2000,48.85,Low,8.05,Primary Tropical Forest,True,4
2000,1.245428186733535,29.749143379116436,Ituri,Epulu,Okapi Wildlife Reserve,28.58,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,L-2000-004,2000,28.58,High,0.46,Primary Tropical Forest,True,2
2000,2.2029382041143304,29.470075092819997,Ituri,Mambasa,Okapi Wildlife Reserve,36.17,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-06-09,L-2000-005,2000,36.17,Low,5.67,Primary Tropical Forest,True,5
2000,1.2928901358887515,28.72611877383162,Ituri,Mambasa,Okapi Wildlife Reserve,33.05,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-06-09,L-2000-006,2000,33.05,Low,7.73,Primary Tropical Forest,True,3
2000,1.8820189687033293,28.346001117903967,Ituri,Epulu,Okapi Wildlife Reserve,23.87,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,L-2000-007,2000,23.87,Medium,7.59,Primary Tropical Forest,True,2
2000,2.1112043380356367,29.387605782642837,Ituri,Wamba,Okapi Wildlife Reserve,45.13,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,L-2000-008,2000,45.13,Low,5.22,Primary Tropical Forest,True,2
2000,1.3930793091480185,29.229611635097086,Ituri,Mambasa,Okapi Wildlife Reserve,40.49,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,L-2000-009,2000,40.49,Low,5.29,Primary Tropical Forest,True,2
