year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,hotspot_id,year_detected,logging_area_ha,logging_density,distance_to_road,forest_type,suspected_illegal_activity,hotspot_risk_level
2000,1.9739927630365033,28.226316201238355,Ituri,Epulu,Okapi Wildlife Reserve,37.35,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,L-2000-000,2000,37.35,Medium,4.63,Primary Tropical Forest,True,5
2000,1.3237729641018414,28.836242481969123,Ituri,Epulu,Okapi Wildlife Reserve,45.52,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,L-2000-001,2000,45.52,Low,9.19,Primary Tropical Forest,True,3
2000,1.6549801749615916,29.62301560138785,Ituri,Wamba,Okapi Wildlife Reserve,20.97,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2000-002,2000,20.97,High,1.91,Primary Tropical Forest,True,1
2000,1.1625160478434722,28.66493299875109,Ituri,Wamba,Okapi Wildlife Reserve,42.98,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-05-15,L-2000-003,2000,42.98,Low,8.23,Primary Tropical Forest,True,5
2000,1.6345350925043611,28.51382183017577,Ituri,Mambasa,Okapi Wildlife Reserve,37.74,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2000-004,2000,37.74,High,1.37,Primary Tropical Forest,True,3
2001,2.0646058927409703,29.79473018134218,Ituri,Epulu,Okapi Wildlife Reserve,35.17,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2001-000,2001,35.17,High,4.53,Primary Tropical Forest,True,3
2001,2.094057569882719,28.625021850661387,Ituri,Wamba,Okapi Wildlife Reserve,48.79,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,L-2001-001,2001,48.79,Low,2.91,Primary Tropical Forest,True,5
2001,2.1557392303398917,28.267476870252434,Ituri,Epulu,Okapi Wildlife Reserve,45.66,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,L-2001-002,2001,45.66,Low,4.73,Primary Tropical Forest,True,1
2001,1.8162112984585879,28.102755472225187,Ituri,Mambasa,Okapi Wildlife Reserve,26.02,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2001-003,2001,26.02,Medium,9.46,Primary Tropical Forest,True,3
2001,1.178419030534898,29.363729889226,Ituri,Epulu,Okapi Wildlife Reserve,38.82,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,L-2001-004,2001,38.82,Medium,1.73,Primary Tropical Forest,True,2
2001,1.6077295899160808,29.05308500917061,Ituri,Wamba,Okapi Wildlife Reserve,31.1,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,L-2001-005,2001,31.1,High,4.83,Primary Tropical Forest,True,5
2002,1.5041143687237293,28.927783228322326,Ituri,Wamba,Okapi Wildlife Reserve,47.75,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,L-2002-000,2002,47.75,Medium,6.03,Primary Tropical Forest,True,2
2002,1.5171202871813714,29.756770891537887,Ituri,Mambasa,Okapi Wildlife Reserve,38.46,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,L-2002-001,2002,38.46,Low,8.59,Primary Tropical Forest,True,5
