mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed
SITE-2000-000,CAMI-7416,ZEA (Artisanal Zone),Gold,Banro Corporation,Artisanal,2000,13.55,10.41,1.35,2603.32,11.45,High,4.04,17.39,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
CONC-2000-001,CAMI-1897,PR (Exploration),Diamond,Alphamin Bisie Mining,Industrial,2000,5.26,4.65,0.53,1161.26,5.11,Medium,3.32,16.51,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
SITE-2000-002,CAMI-2756,ZEA (Artisanal Zone),Diamond,Banro Corporation,Artisanal,2000,13.45,12.47,1.35,3116.97,13.71,High,4.71,18.26,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
CONC-2000-003,CAMI-4803,ZEA (Artisanal Zone),Copper,Artisanal Cooperatives,Industrial,2000,7.59,6.74,0.76,1685.62,7.42,High,4.12,3.39,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
SITE-2000-004,CAMI-7080,ZEA (Artisanal Zone),Tantalum,Banro Corporation,Artisanal,2000,13.47,11.8,1.35,2950.82,12.98,Critical,1.48,18.8,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
CONC-2000-005,CAMI-6400,ZEA (Artisanal Zone),Diamond,Artisanal Cooperatives,Industrial,2000,7.76,6.76,0.78,1690.04,7.44,High,1.61,18.17,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
SITE-2000-006,CAMI-3147,PR (Exploration),Tin,Banro Corporation,Artisanal,2000,11.82,10.43,1.18,2606.75,11.47,Medium,4.95,16.86,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
CONC-2000-007,CAMI-1320,ZEA (Artisanal Zone),Tungsten,Kibali Goldmines,Industrial,2000,13.22,12.15,1.32,3037.46,13.36,Critical,2.78,15.07,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
CONC-2001-000,CAMI-3721,ZEA (Artisanal Zone),Diamond,Banro Corporation,Industrial,2001,9.34,8.38,0.93,2095.64,9.22,High,4.75,13.42,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
CONC-2001-001,CAMI-8815,PE (Exploitation),Tin,Independent Miners,Industrial,2001,7.03,6.34,0.7,1584.29,6.97,High,4.07,0.68,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
