mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed,latitude,longitude
CONC-2000-000,CAMI-9671,PR (Exploration),Tantalum,Independent Miners,Industrial,2000,6.47,5.88,0.65,1469.56,6.47,Critical,0.33,2.05,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,1.1903510545815936,29.845994280653414
SITE-2000-001,CAMI-9708,ZEA (Artisanal Zone),Gold,Banro Corporation,Artisanal,2000,7.91,7.42,0.79,1855.98,8.17,Critical,1.07,9.6,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15,2.2849050162524702,28.460969371660774
SITE-2000-002,CAMI-8612,ZEA (Artisanal Zone),Copper,Banro Corporation,Artisanal,2000,11.31,9.87,1.13,2466.68,10.85,Medium,4.62,17.97,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.6739713975415054,28.649010101182974
SITE-2000-003,CAMI-7761,PE (Exploitation),Tungsten,Banro Corporation,Artisanal,2000,8.97,6.82,0.9,1704.58,7.5,Critical,4.37,3.69,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.1344386178384822,29.19211034628255
CONC-2001-000,CAMI-5743,PE (Exploitation),Diamond,Alphamin Bisie Mining,Industrial,2001,8.1,7.54,0.81,1885.2,8.29,High,4.53,12.02,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15,1.5166799581097141,29.849991338975553
CONC-2001-001,CAMI-4888,PR (Exploration),Tin,Artisanal Cooperatives,Industrial,2001,6.47,6.03,0.65,1507.25,6.63,Medium,0.71,18.0,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.8744869665800543,29.526108006404097
CONC-2001-002,CAMI-7254,ZEA (Artisanal Zone),Diamond,Kibali Goldmines,Industrial,2001,10.84,7.96,1.08,1988.93,8.75,Critical,2.59,0.31,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15,1.8106608709632748,29.822358255948654
CONC-2001-003,CAMI-1657,PR (Exploration),Copper,Artisanal Cooperatives,Industrial,2001,11.46,8.07,1.15,2017.05,8.88,Medium,4.5,16.37,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.6382786784901588,28.909516054527128
CONC-2001-004,CAMI-1768,ZEA (Artisanal Zone),Tin,Independent Miners,Industrial,2001,11.98,10.58,1.2,2644.58,11.64,Medium,0.27,7.43,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15,1.2718457478237302,28.45498317693702
CONC-2001-005,CAMI-6059,PR (Exploration),Gold,Kibali Goldmines,Industrial,2001,9.15,6.48,0.91,1620.26,7.13,Critical,3.64,4.1,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,1.9170936184277383,29.448553021333048
