year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,mining_site_id,mining_type,year_detected,mining_area_ha,forest_loss_due_to_mining_ha,distance_to_road_km,river_proximity_km,inside_protected_area,biodiversity_risk_level
2000,1.5396457729270414,28.67600122112961,Ituri,Mambasa,Okapi Wildlife Reserve,12.39,0.1239,6.4,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,M-2000-0,Semi-Industrial,2000,12.39,11.15,9.82,3.81,False,Medium
2000,1.7015482708946654,28.551472934902154,Ituri,Epulu,Okapi Wildlife Reserve,13.54,0.1354,3.69,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2000-1,Semi-Industrial,2000,13.54,12.19,1.18,1.87,False,Medium
2000,1.699781355629549,28.558157791029586,Ituri,Epulu,Okapi Wildlife Reserve,13.5,0.135,4.78,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2000-2,Semi-Industrial,2000,13.5,12.15,11.83,4.12,True,High
2000,1.5468776076285837,28.610349395525674,Ituri,Mambasa,Okapi Wildlife Reserve,11.05,0.1105,2.31,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,M-2000-3,Artisanal,2000,11.05,9.94,8.79,2.29,True,Medium
2001,1.544445653883043,28.67027260752565,Ituri,Wamba,Okapi Wildlife Reserve,14.04,0.1404,5.55,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2001-0,Semi-Industrial,2001,14.04,12.63,11.82,1.56,False,Medium
2002,1.7210700676077182,28.630239333791973,Ituri,Epulu,Okapi Wildlife Reserve,13.41,0.1341,4.09,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-06-09,M-2002-0,Artisanal,2002,13.41,12.07,12.96,3.84,True,High
2002,1.5394481931750756,28.575469131253115,Ituri,Epulu,Okapi Wildlife Reserve,6.86,0.0686,7.14,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,M-2002-1,Artisanal,2002,6.86,6.17,6.86,1.54,False,High
2003,1.571316818306505,28.5671154789309,Ituri,Mambasa,Okapi Wildlife Reserve,10.44,0.1044,7.11,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,M-2003-0,Artisanal,2003,10.44,9.39,12.91,2.54,True,High
2003,1.5968443777823484,28.579269489584853,Ituri,Mambasa,Okapi Wildlife Reserve,14.89,0.1489,6.13,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,M-2003-1,Semi-Industrial,2003,14.89,13.41,17.99,0.22,False,Medium
2003,1.582083586591762,28.512794236766045,Ituri,Wamba,Okapi Wildlife Reserve,9.97,0.0997,3.68,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,M-2003-2,Semi-Industrial,2003,9.97,8.98,14.78,3.79,True,Medium
2003,1.725683855874737,28.53701957714578,Ituri,Wamba,Okapi Wildlife Reserve,7.84,0.0784,7.29,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-06-09,M-2003-3,Semi-Industrial,2003,7.84,7.06,8.71,3.26,True,High
2004,1.592784196525878,28.54258414036677,Ituri,Wamba,Okapi Wildlife Reserve,8.24,0.0824,2.17,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,M-2004-0,Semi-Industrial,2004,8.24,7.42,10.41,3.89,True,High
2004,1.615297455314318,28.55259946413324,Ituri,Epulu,Okapi Wildlife Reserve,9.9,0.099,4.19,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-06-09,M-2004-1,Semi-Industrial,2004,9.9,8.91,12.35,4.54,False,Medium
2004,1.6650140505776896,28.61708603398649,Ituri,Mambasa,Okapi Wildlife Reserve,12.95,0.1295,5.78,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-06-09,M-2004-2,Semi-Industrial,2004,12.95,11.66,15.42,3.3,True,High
2004,1.5604718185863788,28.487547506762947,Ituri,Wamba,Okapi Wildlife Reserve,8.14,0.0814,5.7,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-06-09,M-2004-3,Artisanal,2004,8.14,7.33,9.13,4.66,True,Medium
2004,1.636655968377374,28.567838614729194,Ituri,Epulu,Okapi Wildlife Reserve,14.43,0.1443,4.65,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,M-2004-4,Artisanal,2004,14.43,12.99,11.22,0.79,False,High
2005,1.5405688439263294,28.52610838937383,Ituri,Epulu,Okapi Wildlife Reserve,16.72,0.1672,3.85,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,M-2005-0,Artisanal,2005,16.72,15.05,2.41,0.76,True,Medium
2005,1.6404525445852849,28.620304727065506,Ituri,Wamba,Okapi Wildlife Reserve,16.16,0.1616,6.57,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-06-09,M-2005-1,Semi-Industrial,2005,16.16,14.54,9.88,0.76,True,High
2005,1.6829236105835021,28.498098035861318,Ituri,Wamba,Okapi Wildlife Reserve,16.11,0.1611,3.23,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-06-09,M-2005-2,Semi-Industrial,2005,16.11,14.5,12.11,2.76,False,Medium
2005,1.6419570188493569,28.509241482658638,Ituri,Mambasa,Okapi Wildlife Reserve,13.0,0.13,5.48,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.93,2026-06-09,M-2005-3,Semi-Industrial,2005,13.0,11.7,13.29,3.56,True,Medium
