mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed,latitude,longitude
CONC-2000-000,CAMI-5779,PE (Exploitation),Tantalum,Kibali Goldmines,Industrial,2000,13.77,10.36,1.38,2591.18,11.4,Medium,3.52,2.68,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,2.0298992591910734,28.45291110588245
CONC-2000-001,CAMI-5379,PR (Exploration),Tantalum,Kibali Goldmines,Industrial,2000,14.88,10.86,1.49,2715.21,11.95,Medium,4.65,7.84,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15,2.006529194803914,29.203124702731017
CONC-2000-002,CAMI-3317,PE (Exploitation),Diamond,Artisanal Cooperatives,Industrial,2000,9.34,8.32,0.93,2081.14,9.16,Medium,0.84,7.3,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,1.4561944379292633,29.617060322462052
CONC-2000-003,CAMI-6422,ZEA (Artisanal Zone),Copper,Kibali Goldmines,Industrial,2000,11.42,9.55,1.14,2388.04,10.51,Medium,2.56,10.9,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15,1.6848984198228651,28.655104574432492
CONC-2000-004,CAMI-5596,PR (Exploration),Gold,Artisanal Cooperatives,Industrial,2000,7.33,6.76,0.73,1689.4,7.43,High,2.56,14.68,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,2.353033588620195,27.761076135142368
SITE-2000-005,CAMI-2255,PE (Exploitation),Diamond,Kibali Goldmines,Artisanal,2000,8.32,7.0,0.83,1749.8,7.7,Critical,3.03,6.4,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.3625574789345316,29.03601418815136
CONC-2000-006,CAMI-3059,PE (Exploitation),Tungsten,Banro Corporation,Industrial,2000,6.58,4.61,0.66,1153.1,5.07,Critical,4.15,13.11,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15,2.340353902715605,29.122998412438516
SITE-2000-007,CAMI-5427,PE (Exploitation),Tungsten,Banro Corporation,Artisanal,2000,12.89,10.87,1.29,2717.79,11.96,Critical,1.7,11.43,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.6547004147413698,27.624815131371964
SITE-2001-000,CAMI-5606,PR (Exploration),Tungsten,Alphamin Bisie Mining,Artisanal,2001,13.76,12.23,1.38,3058.55,13.46,High,4.52,0.25,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.579446940061889,28.115454048363976
CONC-2001-001,CAMI-9595,PR (Exploration),Tin,Independent Miners,Industrial,2001,9.21,7.93,0.92,1983.14,8.73,High,3.66,16.82,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15,1.787228740100546,29.22610488048556
CONC-2001-002,CAMI-3719,PR (Exploration),Diamond,Banro Corporation,Industrial,2001,10.88,7.72,1.09,1930.55,8.49,Medium,0.76,15.57,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,2.035755020806448,28.961830059805948
SITE-2001-003,CAMI-1520,ZEA (Artisanal Zone),Diamond,Banro Corporation,Artisanal,2001,15.64,11.58,1.56,2894.29,12.73,Medium,1.24,11.51,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.762635132751255,27.724198878010128
CONC-2001-004,CAMI-2831,ZEA (Artisanal Zone),Tungsten,Independent Miners,Industrial,2001,14.91,12.1,1.49,3024.83,13.31,Critical,1.85,5.47,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,1.3057716238358419,29.497587444133327
CONC-2002-000,CAMI-4714,PR (Exploration),Tungsten,Alphamin Bisie Mining,Industrial,2002,9.16,7.21,0.92,1801.97,7.93,Medium,4.57,17.6,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15,2.0743168680520787,29.867733284157886
CONC-2002-001,CAMI-6456,PE (Exploitation),Copper,Independent Miners,Industrial,2002,8.62,8.07,0.86,2018.71,8.88,Critical,3.78,14.56,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.792296214925177,29.21432808976219
SITE-2002-002,CAMI-7581,PE (Exploitation),Copper,Banro Corporation,Artisanal,2002,12.87,11.06,1.29,2766.23,12.17,Medium,1.58,19.45,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,2.335848294167169,29.525039765565523
CONC-2002-003,CAMI-3189,ZEA (Artisanal Zone),Tungsten,Banro Corporation,Industrial,2002,15.52,13.1,1.55,3275.77,14.41,Critical,4.79,0.9,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.6547507317210255,29.18893100991258
SITE-2002-004,CAMI-8734,PR (Exploration),Tungsten,Alphamin Bisie Mining,Artisanal,2002,11.29,9.8,1.13,2451.17,10.79,Critical,3.75,2.57,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,1.8722054816855338,28.529133312207918
SITE-2002-005,CAMI-1436,PE (Exploitation),Diamond,Kibali Goldmines,Artisanal,2002,14.74,13.53,1.47,3381.58,14.88,Critical,4.55,7.02,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15,1.155403625803965,28.806039765931484
CONC-2002-006,CAMI-9383,PE (Exploitation),Tin,Banro Corporation,Industrial,2002,7.25,5.87,0.73,1468.62,6.46,Medium,3.66,10.59,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15,1.9169850446239776,28.62049079145981
CONC-2003-000,CAMI-7917,PE (Exploitation),Gold,Banro Corporation,Industrial,2003,11.85,8.83,1.19,2207.22,9.71,High,0.86,2.26,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15,2.370595694443469,28.473840560348812
CONC-2003-001,CAMI-9470,PE (Exploitation),Tin,Banro Corporation,Industrial,2003,7.45,6.86,0.74,1714.86,7.55,High,1.93,2.6,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,1.6453424799191776,28.034192815392224
CONC-2003-002,CAMI-3473,PE (Exploitation),Tungsten,Banro Corporation,Industrial,2003,12.03,9.0,1.2,2250.5,9.9,High,3.83,16.31,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15,1.2149551853514051,29.176860130461268
CONC-2003-003,CAMI-1739,PE (Exploitation),Diamond,Kibali Goldmines,Industrial,2003,14.5,11.11,1.45,2778.4,12.22,High,0.49,12.16,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15,1.390531389281615,29.29742190803826
CONC-2003-004,CAMI-1681,PE (Exploitation),Tin,Banro Corporation,Industrial,2003,14.21,11.46,1.42,2865.72,12.61,Critical,1.36,10.9,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,2.1711834688267473,28.21050351081897
CONC-2003-005,CAMI-3937,PE (Exploitation),Copper,Kibali Goldmines,Industrial,2003,10.22,7.49,1.02,1871.64,8.24,Critical,3.87,14.63,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.300973915192412,29.717996375680837
CONC-2003-006,CAMI-8717,ZEA (Artisanal Zone),Tungsten,Kibali Goldmines,Industrial,2003,10.82,8.04,1.08,2009.84,8.84,High,1.77,18.54,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.460798358598678,27.857943975495107
SITE-2003-007,CAMI-1458,PR (Exploration),Diamond,Alphamin Bisie Mining,Artisanal,2003,15.88,13.79,1.59,3448.45,15.17,High,3.06,3.4,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,1.8862502142812463,28.016565083552262
SITE-2004-000,CAMI-9282,ZEA (Artisanal Zone),Tantalum,Independent Miners,Artisanal,2004,11.0,9.45,1.1,2363.2,10.4,Medium,3.42,2.18,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15,1.9090300553140178,28.717067259084885
CONC-2004-001,CAMI-3622,PE (Exploitation),Tantalum,Alphamin Bisie Mining,Industrial,2004,10.72,8.45,1.07,2113.52,9.3,Medium,3.21,1.21,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.5602735075569276,27.922440979534816
CONC-2004-002,CAMI-2507,ZEA (Artisanal Zone),Tin,Banro Corporation,Industrial,2004,9.64,8.92,0.96,2230.8,9.82,Medium,3.88,19.83,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.7864536855300603,29.438722624908365
CONC-2004-003,CAMI-1247,PE (Exploitation),Diamond,Alphamin Bisie Mining,Industrial,2004,10.14,7.99,1.01,1998.22,8.79,High,2.28,16.09,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.5459390221869902,29.875057363042565
CONC-2005-000,CAMI-2881,PR (Exploration),Copper,Banro Corporation,Industrial,2005,12.13,9.51,1.21,2377.57,10.46,High,0.44,13.04,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,1.9744733963636742,28.45659522006261
CONC-2005-001,CAMI-4560,PE (Exploitation),Tantalum,Alphamin Bisie Mining,Industrial,2005,14.68,12.73,1.47,3182.28,14.0,High,3.39,4.04,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15,2.224619032655555,28.605564390891963
SITE-2005-002,CAMI-2213,ZEA (Artisanal Zone),Tungsten,Banro Corporation,Artisanal,2005,20.29,18.16,2.03,4540.12,19.98,Medium,2.08,5.47,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15,1.582763723334534,29.001936618615353
CONC-2005-003,CAMI-1038,ZEA (Artisanal Zone),Tin,Alphamin Bisie Mining,Industrial,2005,16.09,14.58,1.61,3645.65,16.04,Medium,0.59,13.1,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,2.138027938821927,27.745082599758394
SITE-2005-004,CAMI-9301,PR (Exploration),Tin,Independent Miners,Artisanal,2005,12.62,11.57,1.26,2893.19,12.73,Medium,1.51,2.11,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,1.9369997282918048,29.10211292939956
CONC-2005-005,CAMI-5752,ZEA (Artisanal Zone),Copper,Artisanal Cooperatives,Industrial,2005,14.09,12.57,1.41,3143.17,13.83,High,4.86,18.72,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15,2.0044658787782366,29.11323682751502
CONC-2005-006,CAMI-6671,ZEA (Artisanal Zone),Copper,Banro Corporation,Industrial,2005,17.18,15.33,1.72,3833.64,16.87,High,3.5,10.47,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15,1.8489308329806415,29.709827901399883
SITE-2005-007,CAMI-8310,ZEA (Artisanal Zone),Diamond,Kibali Goldmines,Artisanal,2005,19.16,14.44,1.92,3609.88,15.88,Critical,1.91,20.0,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.499878739214902,29.698773608904766
CONC-2006-000,CAMI-8556,PE (Exploitation),Tungsten,Alphamin Bisie Mining,Industrial,2006,12.57,10.75,1.26,2686.45,11.82,Critical,2.96,10.21,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,1.3734950808099304,29.443599214818185
CONC-2006-001,CAMI-4187,PE (Exploitation),Diamond,Independent Miners,Industrial,2006,9.39,7.19,0.94,1796.51,7.9,High,2.46,4.73,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,1.7925231204766843,28.432358799954503
