mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed
CONC-2000-000,CAMI-1072,PE (Exploitation),Gold,Independent Miners,Industrial,2000,10.67,9.91,1.07,2476.31,10.9,Critical,1.88,17.67,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2000-001,CAMI-8155,PR (Exploration),Tantalum,Kibali Goldmines,Artisanal,2000,12.88,9.03,1.29,2256.39,9.93,High,4.2,15.6,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15
CONC-2000-002,CAMI-5881,PE (Exploitation),Tantalum,Alphamin Bisie Mining,Industrial,2000,6.58,5.41,0.66,1352.44,5.95,Critical,1.49,4.72,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
CONC-2000-003,CAMI-9968,PE (Exploitation),Tantalum,Artisanal Cooperatives,Industrial,2000,11.38,8.04,1.14,2008.76,8.84,High,0.98,5.63,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
CONC-2000-004,CAMI-1242,PE (Exploitation),Tungsten,Independent Miners,Industrial,2000,7.27,6.22,0.73,1555.24,6.84,Critical,3.01,7.21,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
CONC-2000-005,CAMI-2131,PE (Exploitation),Copper,Kibali Goldmines,Industrial,2000,9.98,7.17,1.0,1793.35,7.89,Medium,2.89,18.98,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
CONC-2000-006,CAMI-4409,ZEA (Artisanal Zone),Tin,Kibali Goldmines,Industrial,2000,6.03,5.46,0.6,1363.92,6.0,Medium,2.47,0.54,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
SITE-2000-007,CAMI-5992,ZEA (Artisanal Zone),Copper,Independent Miners,Artisanal,2000,14.18,13.34,1.42,3335.57,14.68,High,1.63,18.45,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2001-000,CAMI-3919,PR (Exploration),Diamond,Artisanal Cooperatives,Industrial,2001,10.28,9.6,1.03,2400.73,10.56,Medium,2.74,0.52,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15
SITE-2001-001,CAMI-9026,PE (Exploitation),Copper,Artisanal Cooperatives,Artisanal,2001,10.24,8.16,1.02,2040.76,8.98,High,3.88,5.97,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
