mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed,latitude,longitude
CONC-2000-000,CAMI-5818,PR (Exploration),Copper,Artisanal Cooperatives,Industrial,2000,8.25,6.5,0.83,1624.74,7.15,High,1.64,10.42,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.1932663363887446,29.393558608195736
CONC-2000-001,CAMI-4485,ZEA (Artisanal Zone),Tantalum,Artisanal Cooperatives,Industrial,2000,11.6,10.71,1.16,2678.09,11.78,Medium,1.76,14.31,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,2.164263957308612,28.989642972284155
CONC-2000-002,CAMI-1158,ZEA (Artisanal Zone),Tantalum,Artisanal Cooperatives,Industrial,2000,7.25,5.49,0.73,1371.82,6.04,Medium,1.13,4.2,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.85,2026-05-15,1.6639409426069405,27.783061672114666
SITE-2000-003,CAMI-3281,ZEA (Artisanal Zone),Diamond,Banro Corporation,Artisanal,2000,6.59,4.65,0.66,1161.66,5.11,Critical,4.94,11.41,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15,1.3084776295677718,29.15120370891013
SITE-2000-004,CAMI-3910,PR (Exploration),Copper,Artisanal Cooperatives,Artisanal,2000,5.46,4.58,0.55,1144.4,5.04,Medium,3.8,16.1,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.7985096820498212,29.11297987489171
CONC-2000-005,CAMI-4132,PE (Exploitation),Tungsten,Artisanal Cooperatives,Industrial,2000,5.77,4.32,0.58,1080.39,4.75,Critical,2.85,18.44,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,2.3459504299994673,29.59161528047445
SITE-2000-006,CAMI-8421,PR (Exploration),Tin,Banro Corporation,Artisanal,2000,11.86,8.45,1.19,2112.28,9.29,Medium,2.09,1.46,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,2.249119613839966,27.951548991754663
CONC-2000-007,CAMI-4437,ZEA (Artisanal Zone),Tungsten,Kibali Goldmines,Industrial,2000,7.53,6.77,0.75,1693.74,7.45,Critical,4.68,9.08,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15,1.8931524255348307,29.141505705203873
CONC-2001-000,CAMI-1113,ZEA (Artisanal Zone),Gold,Banro Corporation,Industrial,2001,11.32,8.87,1.13,2218.08,9.76,Critical,1.53,4.1,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.4588404842046063,27.603883136330342
SITE-2001-001,CAMI-9397,PR (Exploration),Tungsten,Artisanal Cooperatives,Artisanal,2001,15.48,13.38,1.55,3345.22,14.72,Medium,1.29,19.36,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,2.1909437239569662,28.852173783840424
SITE-2001-002,CAMI-2393,ZEA (Artisanal Zone),Copper,Independent Miners,Artisanal,2001,8.42,7.45,0.84,1863.13,8.2,Critical,3.16,7.77,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,1.2011898091436137,28.545373499064773
CONC-2002-000,CAMI-6680,ZEA (Artisanal Zone),Diamond,Alphamin Bisie Mining,Industrial,2002,9.62,9.02,0.96,2255.96,9.93,Medium,3.96,19.36,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15,1.8734552706085914,28.92193176766048
CONC-2002-001,CAMI-5558,ZEA (Artisanal Zone),Gold,Independent Miners,Industrial,2002,8.58,7.17,0.86,1793.67,7.89,Critical,3.47,5.66,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,2.2644106510659423,27.825390683965477
CONC-2002-002,CAMI-4514,PE (Exploitation),Diamond,Independent Miners,Industrial,2002,7.21,5.56,0.72,1390.73,6.12,High,4.52,12.66,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.85,2026-05-15,2.0185541552568314,28.315465045395065
CONC-2002-003,CAMI-3202,PR (Exploration),Tantalum,Alphamin Bisie Mining,Industrial,2002,7.67,6.46,0.77,1615.39,7.11,Critical,2.03,2.41,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15,2.2195821550817847,28.190632586859465
CONC-2003-000,CAMI-5484,PR (Exploration),Tin,Banro Corporation,Industrial,2003,15.18,12.26,1.52,3066.08,13.49,Medium,4.26,12.9,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15,1.6691140063414274,29.24293283936
SITE-2003-001,CAMI-6248,ZEA (Artisanal Zone),Diamond,Banro Corporation,Artisanal,2003,11.55,10.76,1.16,2689.97,11.84,Medium,4.69,0.26,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15,1.8532389419509951,27.65767133939594
SITE-2003-002,CAMI-3058,PR (Exploration),Diamond,Kibali Goldmines,Artisanal,2003,12.44,9.02,1.24,2255.88,9.93,High,3.55,7.01,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.6175649100836367,28.871025808085545
CONC-2003-003,CAMI-4133,ZEA (Artisanal Zone),Tin,Kibali Goldmines,Industrial,2003,10.17,7.42,1.02,1855.64,8.16,High,3.83,4.5,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15,2.0139442219429107,29.566180071217563
SITE-2003-004,CAMI-4910,PR (Exploration),Tungsten,Kibali Goldmines,Artisanal,2003,14.06,10.71,1.41,2677.16,11.78,High,0.69,4.09,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15,1.7631169298932559,28.73194117231009
