year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,mining_site_id,mining_type,year_detected,mining_area_ha,forest_loss_due_to_mining_ha,distance_to_road_km,river_proximity_km,inside_protected_area,biodiversity_risk_level
2000,1.7056950877457997,28.57346775561129,Ituri,Epulu,Okapi Wildlife Reserve,11.33,0.1133,5.97,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,M-2000-0,Artisanal,2000,11.33,10.2,18.25,4.09,True,High
2000,1.7318479031044383,28.593923266720108,Ituri,Wamba,Okapi Wildlife Reserve,9.49,0.0949,3.68,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.9,2026-05-15,M-2000-1,Semi-Industrial,2000,9.49,8.54,19.54,0.78,False,Medium
2000,1.7201542135765162,28.567116134417567,Ituri,Wamba,Okapi Wildlife Reserve,12.74,0.1274,7.89,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,M-2000-2,Artisanal,2000,12.74,11.47,10.2,0.16,True,Medium
2000,1.6966507025345585,28.614014320488486,Ituri,Epulu,Okapi Wildlife Reserve,13.8,0.138,2.57,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,M-2000-3,Semi-Industrial,2000,13.8,12.42,17.49,1.38,False,Medium
2001,1.6568796613335572,28.549082405529187,Ituri,Mambasa,Okapi Wildlife Reserve,7.4,0.074,6.11,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,M-2001-0,Semi-Industrial,2001,7.4,6.66,13.19,1.42,True,High
2001,1.632457594860076,28.661098645617802,Ituri,Epulu,Okapi Wildlife Reserve,6.13,0.0613,5.18,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,M-2001-1,Artisanal,2001,6.13,5.52,8.18,0.76,True,High
2002,1.6580484878883983,28.614198695973837,Ituri,Epulu,Okapi Wildlife Reserve,15.9,0.159,3.08,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,M-2002-0,Artisanal,2002,15.9,14.31,11.74,4.8,True,Medium
2002,1.5845337876366414,28.670760270886873,Ituri,Mambasa,Okapi Wildlife Reserve,9.8,0.098,7.47,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.86,2026-05-15,M-2002-1,Artisanal,2002,9.8,8.82,14.86,0.5,True,Medium
2002,1.6476277862538946,28.545961192910237,Ituri,Epulu,Okapi Wildlife Reserve,11.75,0.1175,3.08,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,M-2002-2,Artisanal,2002,11.75,10.57,16.94,2.23,False,Medium
2002,1.6419464184155304,28.560997618615197,Ituri,Wamba,Okapi Wildlife Reserve,13.58,0.1358,7.86,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,M-2002-3,Artisanal,2002,13.58,12.22,8.96,0.73,True,High
2002,1.6225714343385755,28.625244219290845,Ituri,Epulu,Okapi Wildlife Reserve,9.27,0.0927,7.0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,M-2002-4,Semi-Industrial,2002,9.27,8.35,4.07,1.89,False,Medium
2003,1.5676650433904162,28.642247104663056,Ituri,Mambasa,Okapi Wildlife Reserve,8.23,0.0823,3.61,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,M-2003-0,Artisanal,2003,8.23,7.4,16.57,4.48,False,High
2003,1.644025854036955,28.49477159554942,Ituri,Mambasa,Okapi Wildlife Reserve,8.41,0.0841,3.9,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,M-2003-1,Semi-Industrial,2003,8.41,7.56,17.66,4.94,True,High
2003,1.618058617974869,28.5305182387792,Ituri,Mambasa,Okapi Wildlife Reserve,9.84,0.0984,6.6,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,M-2003-2,Artisanal,2003,9.84,8.86,12.58,4.37,False,Medium
2003,1.5689058528202355,28.636541314972593,Ituri,Mambasa,Okapi Wildlife Reserve,15.12,0.1512,6.68,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,M-2003-3,Artisanal,2003,15.12,13.6,6.08,4.52,True,Medium
2003,1.7010328623167328,28.647824298800508,Ituri,Epulu,Okapi Wildlife Reserve,13.2,0.132,7.77,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,M-2003-4,Artisanal,2003,13.2,11.88,13.92,4.53,False,High
