mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed
CONC-2000-000,CAMI-9111,ZEA (Artisanal Zone),Tantalum,Artisanal Cooperatives,Industrial,2000,13.7,10.43,1.37,2607.56,11.47,High,4.19,12.73,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
CONC-2000-001,CAMI-6203,ZEA (Artisanal Zone),Tungsten,Independent Miners,Industrial,2000,12.31,8.65,1.23,2162.89,9.52,Medium,1.47,17.78,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2000-002,CAMI-2465,PR (Exploration),Tungsten,Independent Miners,Industrial,2000,10.21,7.67,1.02,1917.51,8.44,Medium,2.48,9.53,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2001-000,CAMI-2253,ZEA (Artisanal Zone),Tantalum,Artisanal Cooperatives,Artisanal,2001,9.07,8.42,0.91,2104.83,9.26,Medium,0.78,5.7,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2001-001,CAMI-7062,ZEA (Artisanal Zone),Gold,Banro Corporation,Artisanal,2001,7.95,6.81,0.8,1703.09,7.49,Medium,3.36,18.66,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
SITE-2001-002,CAMI-8236,ZEA (Artisanal Zone),Tin,Kibali Goldmines,Artisanal,2001,11.69,10.97,1.17,2742.75,12.07,High,4.6,17.68,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
SITE-2001-003,CAMI-8247,ZEA (Artisanal Zone),Tin,Alphamin Bisie Mining,Artisanal,2001,15.93,11.5,1.59,2875.61,12.65,Medium,2.31,2.36,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
CONC-2001-004,CAMI-1754,ZEA (Artisanal Zone),Tantalum,Artisanal Cooperatives,Industrial,2001,5.57,4.56,0.56,1139.92,5.02,Medium,4.91,15.17,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
CONC-2001-005,CAMI-1395,ZEA (Artisanal Zone),Diamond,Banro Corporation,Industrial,2001,5.7,4.04,0.57,1009.3,4.44,High,2.01,14.98,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
SITE-2001-006,CAMI-3016,ZEA (Artisanal Zone),Copper,Independent Miners,Artisanal,2001,10.38,7.44,1.04,1858.96,8.18,High,2.57,19.65,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2001-007,CAMI-2833,PE (Exploitation),Gold,Banro Corporation,Industrial,2001,7.71,6.0,0.77,1499.87,6.6,Medium,4.87,2.28,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15
SITE-2002-000,CAMI-2592,PR (Exploration),Diamond,Artisanal Cooperatives,Artisanal,2002,12.12,10.09,1.21,2523.61,11.1,Critical,0.25,8.41,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2002-001,CAMI-5373,PR (Exploration),Diamond,Banro Corporation,Artisanal,2002,16.92,14.66,1.69,3664.64,16.12,Medium,4.24,18.02,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
CONC-2002-002,CAMI-9513,ZEA (Artisanal Zone),Copper,Artisanal Cooperatives,Industrial,2002,15.31,12.23,1.53,3058.4,13.46,High,4.39,12.5,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
CONC-2002-003,CAMI-4479,PE (Exploitation),Tin,Alphamin Bisie Mining,Industrial,2002,8.37,7.21,0.84,1802.17,7.93,High,4.68,4.98,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
SITE-2002-004,CAMI-9435,ZEA (Artisanal Zone),Tin,Banro Corporation,Artisanal,2002,14.1,13.22,1.41,3305.04,14.54,Critical,3.55,11.07,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
CONC-2002-005,CAMI-3606,PE (Exploitation),Tin,Alphamin Bisie Mining,Industrial,2002,10.08,9.04,1.01,2258.81,9.94,High,1.93,14.51,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2003-000,CAMI-4460,PE (Exploitation),Tungsten,Banro Corporation,Industrial,2003,12.79,11.81,1.28,2953.65,13.0,Critical,1.3,5.09,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
SITE-2003-001,CAMI-7665,PE (Exploitation),Gold,Kibali Goldmines,Artisanal,2003,13.56,10.72,1.36,2679.06,11.79,High,4.77,10.24,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
CONC-2003-002,CAMI-3755,PR (Exploration),Gold,Alphamin Bisie Mining,Industrial,2003,7.85,5.79,0.78,1447.45,6.37,Critical,1.58,7.55,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
SITE-2003-003,CAMI-2690,PE (Exploitation),Tin,Kibali Goldmines,Artisanal,2003,10.38,8.82,1.04,2206.13,9.71,Critical,0.15,15.42,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.94,2026-05-15
SITE-2003-004,CAMI-4991,PE (Exploitation),Copper,Alphamin Bisie Mining,Artisanal,2003,12.21,8.97,1.22,2241.26,9.86,Medium,4.82,16.57,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
CONC-2003-005,CAMI-6853,ZEA (Artisanal Zone),Diamond,Artisanal Cooperatives,Industrial,2003,11.07,9.06,1.11,2264.89,9.97,Critical,0.67,10.17,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
SITE-2003-006,CAMI-7173,PR (Exploration),Gold,Kibali Goldmines,Artisanal,2003,9.96,8.06,1.0,2015.49,8.87,High,3.29,0.32,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
SITE-2003-007,CAMI-6260,PR (Exploration),Tin,Kibali Goldmines,Artisanal,2003,15.93,11.23,1.59,2806.93,12.35,Critical,3.95,15.75,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.98,2026-05-15
SITE-2004-000,CAMI-2898,PR (Exploration),Tungsten,Kibali Goldmines,Artisanal,2004,14.68,12.37,1.47,3092.48,13.61,Medium,4.72,7.84,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.85,2026-05-15
SITE-2004-001,CAMI-6098,ZEA (Artisanal Zone),Tin,Alphamin Bisie Mining,Artisanal,2004,12.59,10.38,1.26,2594.34,11.42,High,4.32,11.08,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
CONC-2004-002,CAMI-3539,ZEA (Artisanal Zone),Tungsten,Independent Miners,Industrial,2004,12.58,11.0,1.26,2750.62,12.1,High,0.2,7.24,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2004-003,CAMI-3685,PE (Exploitation),Diamond,Artisanal Cooperatives,Artisanal,2004,18.37,13.02,1.84,3254.05,14.32,Critical,4.64,16.36,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2004-004,CAMI-5198,PE (Exploitation),Copper,Banro Corporation,Industrial,2004,8.21,6.7,0.82,1675.23,7.37,Medium,1.8,11.78,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
SITE-2005-000,CAMI-7052,PR (Exploration),Tungsten,Alphamin Bisie Mining,Artisanal,2005,14.88,12.29,1.49,3071.91,13.52,Medium,0.45,10.53,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
CONC-2005-001,CAMI-9402,PR (Exploration),Tin,Alphamin Bisie Mining,Industrial,2005,10.16,8.51,1.02,2127.75,9.36,Medium,1.38,3.83,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15
SITE-2005-002,CAMI-6733,PR (Exploration),Tungsten,Artisanal Cooperatives,Artisanal,2005,20.15,16.75,2.02,4187.32,18.42,High,3.35,3.23,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.89,2026-05-15
