mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed
SITE-2000-000,CAMI-5077,ZEA (Artisanal Zone),Gold,Banro Corporation,Artisanal,2000,14.1,10.41,1.41,2602.01,11.45,Critical,2.74,11.77,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15
CONC-2000-001,CAMI-6720,ZEA (Artisanal Zone),Tungsten,Banro Corporation,Industrial,2000,9.83,9.33,0.98,2333.42,10.27,Medium,4.76,17.74,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15
SITE-2000-002,CAMI-2299,PR (Exploration),Diamond,Kibali Goldmines,Artisanal,2000,5.95,5.59,0.59,1398.66,6.15,Critical,1.26,11.89,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15
CONC-2001-000,CAMI-2429,PR (Exploration),Copper,Banro Corporation,Industrial,2001,12.1,8.87,1.21,2217.71,9.76,Medium,1.44,13.06,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15
CONC-2001-001,CAMI-5006,ZEA (Artisanal Zone),Diamond,Banro Corporation,Industrial,2001,14.18,11.32,1.42,2830.63,12.45,High,2.75,15.56,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
CONC-2001-002,CAMI-3423,ZEA (Artisanal Zone),Tantalum,Artisanal Cooperatives,Industrial,2001,13.75,11.81,1.38,2953.63,13.0,Medium,4.4,19.47,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.97,2026-05-15
CONC-2002-000,CAMI-3225,PR (Exploration),Copper,Artisanal Cooperatives,Industrial,2002,6.14,4.52,0.61,1129.23,4.97,Critical,3.28,15.0,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15
CONC-2002-001,CAMI-5741,PE (Exploitation),Copper,Alphamin Bisie Mining,Industrial,2002,15.37,11.01,1.54,2751.39,12.11,Critical,1.44,17.35,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15
SITE-2002-002,CAMI-9878,ZEA (Artisanal Zone),Gold,Independent Miners,Artisanal,2002,10.33,8.57,1.03,2143.29,9.43,Critical,1.77,17.65,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15
SITE-2002-003,CAMI-3442,PE (Exploitation),Diamond,Independent Miners,Artisanal,2002,13.07,11.93,1.31,2981.25,13.12,Medium,3.07,11.67,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.85,2026-05-15
