mining_site_id,concession_id,mining_type,mineral_type,operator_name,artisanal_or_industrial,year,mining_area_ha,forest_loss_due_to_mining_ha,burned_area_related_ha,carbon_loss_tons,habitat_loss_ha,biodiversity_risk_level,proximity_to_river_km,proximity_to_road_km,inside_protected_area,source_dataset,source_provider,source_url,retrieval_date,processing_method,confidence_level,date_processed,latitude,longitude
SITE-2000-000,CAMI-6473,PR (Exploration),Tantalum,Kibali Goldmines,Artisanal,2000,14.43,13.52,1.44,3380.24,14.87,Critical,1.53,18.7,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.96,2026-05-15,1.5697554025547966,29.83347716740894
CONC-2000-001,CAMI-1776,PE (Exploitation),Tin,Artisanal Cooperatives,Industrial,2000,10.14,7.32,1.01,1829.22,8.05,High,2.34,14.5,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.3916874104607486,27.794908931758275
SITE-2000-002,CAMI-3607,ZEA (Artisanal Zone),Tantalum,Independent Miners,Artisanal,2000,12.82,10.83,1.28,2707.14,11.91,Medium,4.76,19.09,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.95,2026-05-15,1.177157571372046,28.696967874174284
CONC-2001-000,CAMI-5510,PR (Exploration),Tantalum,Artisanal Cooperatives,Industrial,2001,12.61,9.64,1.26,2409.48,10.6,Critical,1.67,6.55,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,2.1086741535523803,28.789933148983845
SITE-2001-001,CAMI-5428,PR (Exploration),Tin,Artisanal Cooperatives,Artisanal,2001,7.46,5.74,0.75,1435.81,6.32,Critical,2.67,0.88,True,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.86,2026-05-15,1.1115645515738688,28.384940903494183
CONC-2001-002,CAMI-8409,PE (Exploitation),Tin,Artisanal Cooperatives,Industrial,2001,7.89,7.16,0.79,1790.91,7.88,Medium,2.83,13.6,False,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.92,2026-05-15,1.3708158791563845,29.654552759973004
CONC-2001-003,CAMI-5645,PE (Exploitation),Copper,Artisanal Cooperatives,Industrial,2001,11.31,9.11,1.13,2278.61,10.03,Medium,4.07,7.44,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.87,2026-05-15,1.3907999152537427,28.61159905665281
SITE-2002-000,CAMI-4405,PE (Exploitation),Gold,Independent Miners,Artisanal,2002,14.33,11.57,1.43,2892.2,12.73,Medium,0.2,19.94,False,IPIS Artisanal Mining Site Database,IPIS Research,https://ipisresearch.be/mapping/webmapping/drcongo/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.93,2026-05-15,1.686855792036728,28.639809004975326
CONC-2002-001,CAMI-2498,ZEA (Artisanal Zone),Copper,Kibali Goldmines,Industrial,2002,6.21,5.81,0.62,1452.44,6.39,High,0.58,11.36,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.91,2026-05-15,1.8524691104220574,28.074798648325107
CONC-2002-002,CAMI-1796,ZEA (Artisanal Zone),Tantalum,Kibali Goldmines,Industrial,2002,12.97,9.52,1.3,2380.47,10.47,High,0.47,17.78,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.9,2026-05-15,1.3801991408412264,27.600798228344274
CONC-2002-003,CAMI-4329,ZEA (Artisanal Zone),Tin,Independent Miners,Industrial,2002,9.6,8.51,0.96,2128.74,9.37,Medium,4.92,13.84,True,CAMI Mining Title Database,Cadastre Minier RDC (CAMI),http://www.cami.cd/,2026-05-15,Spatial Overlay & Risk Modeling (GEE + GeoPandas),0.88,2026-05-15,2.385632691596131,28.532172610611973
