year,latitude,longitude,province,territory,zone_name,area_ha,area_km2,percent_change,source_dataset,analysis_method,confidence_level,date_processed,encroachment_type,encroached_area_ha
2000,1.6242855070122266,28.598779989501455,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.96,2026-05-15,Agriculture,56.1072492621419
2001,1.5401459878298083,28.61413167061525,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.85,2026-05-15,Agriculture,27.771274875874425
2002,1.64034822328457,28.49538587143158,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.89,2026-05-15,Agriculture,63.965818870091056
2003,1.6610979965527528,28.676786731909775,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.95,2026-05-15,Agriculture,87.80217494171967
2004,1.6440415161431283,28.605161128637544,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Agriculture,41.208769743398236
2005,1.5508953531167553,28.54390822625476,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Agriculture,94.92688297112635
2006,1.5393216938575802,28.68070680466147,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.91,2026-05-15,Agriculture,21.432147543498992
2007,1.7109744925133141,28.497386168948072,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.94,2026-05-15,Agriculture,97.61944183888463
2008,1.5537961058637024,28.63370254964407,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Agriculture,58.82071408014078
2009,1.6486536719298535,28.520337231552606,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.88,2026-05-15,Agriculture,51.80376537063785
2010,1.5790398935805423,28.61659009835756,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Agriculture,60.863763379179616
2011,1.698784859040408,28.667783024529612,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,Agriculture,94.18111931245602
2012,1.570904586907338,28.484099919179044,Ituri,Mambasa,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,Agriculture,26.79068170049004
2013,1.664276852705032,28.639805914429374,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.92,2026-05-15,Agriculture,58.27202997268357
2014,1.552074587470785,28.536314061718763,Ituri,Epulu,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.97,2026-05-15,Agriculture,37.01114194807735
2015,1.6376909090011906,28.618308726001302,Ituri,Wamba,Okapi Wildlife Reserve,0,0,0,Hansen GFC / GFW / MODIS / VIIRS / GEDI / Sentinel-2,Parametric Change Detection & Spatial Clustering,0.87,2026-05-15,Agriculture,35.19496879204844
