year,forest_loss_ha,mining_area_ha,fire_burned_area_ha,logging_area_ha,carbon_loss_tons,fragmentation_index,road_length_km,biodiversity_risk_score,habitat_loss_ha,cumulative_loss_ha,annual_change_percent,source_dataset,source_provider,source_url,processing_method,confidence_level,date_processed
2000,1926.16,4.7,36.88,31.38,481540.49,0.15,10.0,0.2,2118.78,1926.16,0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2001,1985.06,6.05,68.89,35.25,496263.79,0.16,12.5,0.22,2183.56,3911.22,3.06,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-06-09
2002,2356.49,6.66,66.99,38.94,589123.67,0.17,15.0,0.24,2592.14,6267.71,18.71,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2003,2633.74,7.09,32.5,46.51,658434.18,0.18,17.5,0.26,2897.11,8901.45,11.77,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-06-09
2004,2450.16,8.44,240.46,49.15,612540.14,0.19,20.0,0.28,2695.18,11351.61,-6.97,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2005,2558.9,9.04,39.54,56.46,639725.29,0.2,22.5,0.3,2814.79,13910.51,4.44,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-06-09
2006,2860.59,9.41,54.12,58.7,715146.83,0.21,25.0,0.32,3146.65,16771.1,11.79,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
2007,3019.31,11.08,256.66,67.72,754828.44,0.22,27.5,0.34,3321.25,19790.41,5.55,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2008,3390.94,11.31,33.04,69.36,847736.18,0.23,30.0,0.36,3730.04,23181.36,12.31,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2009,3213.37,11.7,55.48,73.75,803341.7,0.24,32.5,0.38,3534.7,26394.72,-5.24,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2010,3571.88,12.9,237.01,81.26,892970.54,0.25,35.0,0.4,3929.07,29966.6,11.16,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2011,3475.31,13.59,48.27,87.96,868826.6,0.26,37.5,0.42,3822.84,33441.91,-2.7,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2012,3751.71,14.91,36.05,89.79,937927.45,0.27,40.0,0.44,4126.88,37193.62,7.95,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2013,4109.85,15.32,55.07,94.93,1027462.07,0.28,42.5,0.46,4520.83,41303.47,9.55,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2014,4261.16,16.53,66.83,99.88,1065290.41,0.29,45.0,0.48,4687.28,45564.63,3.68,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2015,4424.85,16.59,29.38,104.11,1106212.42,0.3,47.5,0.5,4867.33,49989.48,3.84,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-06-09
2016,4350.81,17.82,328.46,107.07,1087701.37,0.31,50.0,0.52,4785.89,54340.29,-1.67,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-06-09
2017,4627.78,18.8,41.59,113.98,1156945.55,0.32,52.5,0.54,5090.56,58968.07,6.37,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-06-09
2018,4872.63,19.55,30.25,121.84,1218156.57,0.33,55.0,0.56,5359.89,63840.69,5.29,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
