year,forest_loss_ha,mining_area_ha,fire_burned_area_ha,logging_area_ha,carbon_loss_tons,fragmentation_index,road_length_km,biodiversity_risk_score,habitat_loss_ha,cumulative_loss_ha,annual_change_percent,source_dataset,source_provider,source_url,processing_method,confidence_level,date_processed
2000,2056.53,5.33,67.33,27.8,514132.2,0.15,10.0,0.2,2262.18,2056.53,0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2001,2301.35,6.23,221.36,34.88,575337.79,0.16,12.5,0.22,2531.49,4357.88,11.9,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2002,2349.55,6.58,59.8,37.63,587386.47,0.17,15.0,0.24,2584.5,6707.43,2.09,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2003,2362.8,7.06,25.87,45.16,590700.86,0.18,17.5,0.26,2599.08,9070.23,0.56,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2004,2560.88,7.74,106.65,50.88,640220.28,0.19,20.0,0.28,2816.97,11631.11,8.38,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2005,2823.27,8.76,64.65,52.67,705816.52,0.2,22.5,0.3,3105.59,14454.38,10.25,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2006,2757.19,10.25,51.35,59.69,689296.29,0.21,25.0,0.32,3032.9,17211.56,-2.34,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2007,3166.85,10.17,53.09,67.38,791712.23,0.22,27.5,0.34,3483.53,20378.41,14.86,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-05-15
2008,3348.66,11.39,42.93,70.37,837163.8,0.23,30.0,0.36,3683.52,23727.07,5.74,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2009,3325.96,12.28,20.02,75.43,831489.88,0.24,32.5,0.38,3658.56,27053.03,-0.68,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-05-15
2010,3427.86,13.38,121.94,78.3,856964.28,0.25,35.0,0.4,3770.64,30480.88,3.06,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2011,3691.19,13.96,40.68,84.08,922796.96,0.26,37.5,0.42,4060.31,34172.07,7.68,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2012,3747.36,14.53,23.17,88.09,936838.96,0.27,40.0,0.44,4122.09,37919.43,1.52,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2013,4017.9,15.61,193.31,92.2,1004475.07,0.28,42.5,0.46,4419.69,41937.33,7.22,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2014,4117.8,16.67,27.92,99.87,1029450.4,0.29,45.0,0.48,4529.58,46055.13,2.49,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2015,4361.21,17.33,26.47,104.82,1090302.72,0.3,47.5,0.5,4797.33,50416.34,5.91,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2016,4444.41,17.5,301.87,108.0,1111101.62,0.31,50.0,0.52,4888.85,54860.75,1.91,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2017,4636.53,18.44,34.62,113.44,1159132.77,0.32,52.5,0.54,5100.18,59497.28,4.32,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2018,4648.66,19.57,51.93,119.47,1162165.48,0.33,55.0,0.56,5113.53,64145.94,0.26,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2019,4671.92,19.98,187.89,123.06,1167978.89,0.34,57.5,0.58,5139.11,68817.85,0.5,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2020,5041.69,21.17,57.41,130.93,1260422.95,0.35,60.0,0.6,5545.86,73859.55,7.91,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
