year,forest_loss_ha,mining_area_ha,fire_burned_area_ha,logging_area_ha,carbon_loss_tons,fragmentation_index,road_length_km,biodiversity_risk_score,habitat_loss_ha,cumulative_loss_ha,annual_change_percent,source_dataset,source_provider,source_url,processing_method,confidence_level,date_processed
2000,1892.83,4.75,69.59,29.21,473207.0,0.15,10.0,0.2,2082.11,1892.83,0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2001,2208.23,5.69,137.03,37.15,552058.45,0.16,12.5,0.22,2429.06,4101.06,16.66,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2002,2349.15,6.42,50.85,41.38,587287.95,0.17,15.0,0.24,2584.07,6450.21,6.38,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-06-09
2003,2266.16,7.09,45.29,47.55,566540.24,0.18,17.5,0.26,2492.78,8716.37,-3.53,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2004,2567.7,8.08,312.17,50.13,641923.97,0.19,20.0,0.28,2824.47,11284.07,13.31,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-06-09
2005,2637.38,9.14,24.63,54.36,659344.11,0.2,22.5,0.3,2901.11,13921.45,2.71,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2006,2840.41,9.5,59.76,62.22,710101.79,0.21,25.0,0.32,3124.45,16761.85,7.7,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
2007,3237.93,10.15,62.06,63.75,809481.69,0.22,27.5,0.34,3561.72,19999.78,14.0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2008,3004.72,11.28,36.89,69.43,751178.9,0.23,30.0,0.36,3305.19,23004.5,-7.2,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2009,3252.0,12.69,37.26,72.19,813001.09,0.24,32.5,0.38,3577.2,26256.5,8.23,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2010,3547.7,12.7,99.71,78.29,886925.63,0.25,35.0,0.4,3902.47,29804.2,9.09,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2011,3599.85,13.44,55.26,83.68,899963.45,0.26,37.5,0.42,3959.84,33404.06,1.47,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2012,3827.77,14.86,58.26,89.75,956941.92,0.27,40.0,0.44,4210.54,37231.82,6.33,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-06-09
2013,3942.91,15.54,204.64,93.87,985727.89,0.28,42.5,0.46,4337.2,41174.74,3.01,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2014,4022.73,16.03,60.61,99.86,1005681.5,0.29,45.0,0.48,4425.0,45197.46,2.02,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-06-09
2015,4397.49,16.62,44.36,105.81,1099372.79,0.3,47.5,0.5,4837.24,49594.95,9.32,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
2016,4539.96,18.13,199.75,107.3,1134990.56,0.31,50.0,0.52,4993.96,54134.92,3.24,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2017,4379.45,18.61,37.31,115.74,1094861.49,0.32,52.5,0.54,4817.39,58514.36,-3.54,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2018,4806.9,19.37,45.05,122.37,1201724.36,0.33,55.0,0.56,5287.59,63321.26,9.76,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2019,4765.09,20.45,77.84,123.68,1191273.1,0.34,57.5,0.58,5241.6,68086.35,-0.87,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2020,5095.01,20.82,53.66,130.98,1273752.48,0.35,60.0,0.6,5604.51,73181.36,6.92,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2021,5322.1,22.23,63.22,134.83,1330524.62,0.36,62.5,0.62,5854.31,78503.46,4.46,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2022,5260.09,22.58,101.76,142.59,1315021.99,0.37,65.0,0.64,5786.1,83763.55,-1.17,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
2023,5598.93,23.02,28.0,142.85,1399733.33,0.38,67.5,0.66,6158.83,89362.48,6.44,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2024,5450.92,24.65,47.32,148.75,1362729.17,0.39,70.0,0.68,5996.01,94813.4,-2.64,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2025,5765.41,25.2,193.97,157.04,1441353.28,0.4,72.5,0.7,6341.95,100578.81,5.77,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2026,5762.93,25.55,49.48,158.81,1440731.46,0.41,75.0,0.72,6339.22,106341.74,-0.04,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2027,5968.32,26.96,57.63,164.13,1492080.12,0.42,77.5,0.74,6565.15,112310.06,3.56,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2028,6038.68,27.74,346.58,169.98,1509671.08,0.43,80.0,0.76,6642.55,118348.74,1.18,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2029,6234.75,28.05,45.41,175.18,1558687.46,0.44,82.5,0.78,6858.22,124583.49,3.25,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2030,6667.92,29.08,54.44,181.09,1666979.23,0.45,85.0,0.8,7334.71,131251.41,6.95,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
