year,forest_loss_ha,mining_area_ha,fire_burned_area_ha,logging_area_ha,carbon_loss_tons,fragmentation_index,road_length_km,biodiversity_risk_score,habitat_loss_ha,cumulative_loss_ha,annual_change_percent,source_dataset,source_provider,source_url,processing_method,confidence_level,date_processed
2000,2039.23,5.1,66.01,29.5,509806.28,0.15,10.0,0.2,2243.15,2039.23,0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2001,2243.62,5.42,63.4,34.56,560906.12,0.16,12.5,0.22,2467.99,4282.85,10.02,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2002,2153.53,6.24,62.81,41.91,538382.5,0.17,15.0,0.24,2368.88,6436.38,-4.02,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2003,2582.08,7.83,59.32,45.31,645521.05,0.18,17.5,0.26,2840.29,9018.46,19.9,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2004,2792.56,8.34,323.93,49.5,698140.93,0.19,20.0,0.28,3071.82,11811.03,8.15,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-06-09
2005,2828.77,9.39,21.16,52.59,707192.61,0.2,22.5,0.3,3111.65,14639.8,1.3,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2006,2911.67,9.39,31.01,58.1,727916.5,0.21,25.0,0.32,3202.83,17551.46,2.93,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2007,2978.26,10.29,63.87,62.79,744565.89,0.22,27.5,0.34,3276.09,20529.73,2.29,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2008,3014.05,11.0,61.34,68.5,753511.41,0.23,30.0,0.36,3315.45,23543.77,1.2,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2009,3465.64,12.08,25.52,76.26,866410.42,0.24,32.5,0.38,3812.21,27009.41,14.98,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2010,3612.63,13.35,163.44,79.88,903156.88,0.25,35.0,0.4,3973.89,30622.04,4.24,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2011,3824.91,14.15,28.13,87.5,956228.45,0.26,37.5,0.42,4207.41,34446.96,5.88,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2012,3970.43,14.17,44.93,90.8,992607.06,0.27,40.0,0.44,4367.47,38417.38,3.8,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2013,3754.33,15.36,242.59,92.95,938581.98,0.28,42.5,0.46,4129.76,42171.71,-5.44,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2014,4153.63,16.06,66.22,97.83,1038408.28,0.29,45.0,0.48,4569.0,46325.35,10.64,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2015,4361.75,16.91,51.0,102.78,1090437.03,0.3,47.5,0.5,4797.92,50687.09,5.01,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2016,4217.21,17.31,337.51,111.71,1054303.57,0.31,50.0,0.52,4638.94,54904.31,-3.31,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2017,4633.55,18.53,57.28,113.98,1158388.3,0.32,52.5,0.54,5096.91,59537.86,9.87,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2018,4836.98,19.57,63.85,118.91,1209246.01,0.33,55.0,0.56,5320.68,64374.85,4.39,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2019,4694.2,20.33,103.97,126.76,1173549.57,0.34,57.5,0.58,5163.62,69069.04,-2.95,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-06-09
2020,4932.63,20.59,60.19,127.32,1233158.15,0.35,60.0,0.6,5425.9,74001.68,5.08,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2021,5216.43,21.6,57.23,136.58,1304106.47,0.36,62.5,0.62,5738.07,79218.1,5.75,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-06-09
2022,5294.69,23.08,288.04,137.64,1323672.39,0.37,65.0,0.64,5824.16,84512.79,1.5,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2023,5438.81,23.71,29.28,145.32,1359702.09,0.38,67.5,0.66,5982.69,89951.6,2.72,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-06-09
2024,5643.49,24.66,22.42,150.14,1410871.91,0.39,70.0,0.68,6207.84,95595.09,3.76,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
2025,5657.03,24.51,306.67,156.55,1414256.55,0.4,72.5,0.7,6222.73,101252.11,0.24,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-06-09
2026,5850.07,25.51,45.99,161.58,1462517.62,0.41,75.0,0.72,6435.08,107102.18,3.41,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-06-09
2027,6135.86,26.31,69.22,165.22,1533965.84,0.42,77.5,0.74,6749.45,113238.05,4.89,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
2028,6193.56,27.51,98.23,167.59,1548391.15,0.43,80.0,0.76,6812.92,119431.61,0.94,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2029,6213.21,28.3,37.46,177.42,1553303.62,0.44,82.5,0.78,6834.54,125644.83,0.32,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-06-09
2030,6414.98,28.73,30.17,182.11,1603744.22,0.45,85.0,0.8,7056.47,132059.8,3.25,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-06-09
