year,forest_loss_ha,mining_area_ha,fire_burned_area_ha,logging_area_ha,carbon_loss_tons,fragmentation_index,road_length_km,biodiversity_risk_score,habitat_loss_ha,cumulative_loss_ha,annual_change_percent,source_dataset,source_provider,source_url,processing_method,confidence_level,date_processed
2000,2182.64,4.57,56.73,29.38,545660.33,0.15,10.0,0.2,2400.91,2182.64,0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2001,2078.21,5.79,167.29,36.04,519551.82,0.16,12.5,0.22,2286.03,4260.85,-4.78,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-05-15
2002,2377.89,6.75,25.07,39.34,594472.16,0.17,15.0,0.24,2615.68,6638.74,14.42,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2003,2402.08,6.99,57.61,43.62,600519.34,0.18,17.5,0.26,2642.29,9040.81,1.02,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2004,2642.94,7.78,68.48,48.22,660735.35,0.19,20.0,0.28,2907.24,11683.76,10.03,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2005,2887.59,8.6,55.64,57.05,721898.54,0.2,22.5,0.3,3176.35,14571.35,9.26,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2006,2992.76,9.39,23.0,58.28,748188.94,0.21,25.0,0.32,3292.03,17564.11,3.64,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2007,3243.88,10.11,209.1,66.46,810970.5,0.22,27.5,0.34,3568.27,20807.99,8.39,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2008,3372.32,11.79,29.89,69.75,843081.15,0.23,30.0,0.36,3709.56,24180.31,3.96,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2009,3236.63,11.76,57.22,75.34,809158.19,0.24,32.5,0.38,3560.3,27416.95,-4.02,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2010,3460.69,12.97,68.32,82.55,865171.74,0.25,35.0,0.4,3806.76,30877.63,6.92,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2011,3741.91,13.59,28.9,83.75,935477.08,0.26,37.5,0.42,4116.1,34619.54,8.13,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-05-15
2012,3838.31,14.25,20.65,89.35,959576.96,0.27,40.0,0.44,4222.14,38457.85,2.58,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2013,3947.8,15.37,258.44,92.29,986948.8,0.28,42.5,0.46,4342.57,42405.64,2.85,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2014,3922.1,16.03,63.57,99.52,980524.43,0.29,45.0,0.48,4314.31,46327.74,-0.65,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2015,4369.5,17.31,49.28,107.28,1092375.31,0.3,47.5,0.5,4806.45,50697.24,11.41,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2016,4562.11,17.32,65.62,112.39,1140526.79,0.31,50.0,0.52,5018.32,55259.35,4.41,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-05-15
2017,4465.52,18.75,30.78,112.91,1116380.83,0.32,52.5,0.54,4912.08,59724.87,-2.12,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2018,4722.33,19.24,29.38,119.07,1180582.83,0.33,55.0,0.56,5194.56,64447.2,5.75,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2019,4810.55,20.55,146.52,126.87,1202637.81,0.34,57.5,0.58,5291.61,69257.76,1.87,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
