year,forest_loss_ha,mining_area_ha,fire_burned_area_ha,logging_area_ha,carbon_loss_tons,fragmentation_index,road_length_km,biodiversity_risk_score,habitat_loss_ha,cumulative_loss_ha,annual_change_percent,source_dataset,source_provider,source_url,processing_method,confidence_level,date_processed
2000,1855.46,4.89,58.64,30.32,463865.28,0.15,10.0,0.2,2041.01,1855.46,0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2001,2342.9,6.09,239.17,32.42,585724.92,0.16,12.5,0.22,2577.19,4198.36,26.27,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2002,2236.99,6.29,27.72,40.37,559248.11,0.17,15.0,0.24,2460.69,6435.35,-4.52,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2003,2428.19,7.22,37.51,47.67,607047.61,0.18,17.5,0.26,2671.01,8863.54,8.55,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2004,2567.91,8.03,289.46,47.84,641976.29,0.19,20.0,0.28,2824.7,11431.45,5.75,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2005,2766.17,9.21,34.26,56.73,691542.77,0.2,22.5,0.3,3042.79,14197.62,7.72,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2006,3031.79,10.29,38.16,60.63,757947.0,0.21,25.0,0.32,3334.97,17229.41,9.6,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-05-15
2007,3013.9,10.79,343.26,66.63,753475.32,0.22,27.5,0.34,3315.29,20243.31,-0.59,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2008,3071.66,11.65,33.62,72.44,767913.87,0.23,30.0,0.36,3378.82,23314.96,1.92,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2009,3185.84,12.47,34.2,75.53,796460.83,0.24,32.5,0.38,3504.43,26500.81,3.72,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-05-15
2010,3589.04,13.01,161.44,78.73,897260.23,0.25,35.0,0.4,3947.95,30089.85,12.66,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2011,3614.55,13.88,62.59,84.46,903636.95,0.26,37.5,0.42,3976.0,33704.4,0.71,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2012,3721.96,14.88,35.7,92.59,930489.59,0.27,40.0,0.44,4094.15,37426.36,2.97,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2013,4053.46,15.25,55.15,93.14,1013364.61,0.28,42.5,0.46,4458.8,41479.81,8.91,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2014,3944.36,16.44,44.63,98.62,986089.18,0.29,45.0,0.48,4338.79,45424.17,-2.69,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
