year,forest_loss_ha,mining_area_ha,fire_burned_area_ha,logging_area_ha,carbon_loss_tons,fragmentation_index,road_length_km,biodiversity_risk_score,habitat_loss_ha,cumulative_loss_ha,annual_change_percent,source_dataset,source_provider,source_url,processing_method,confidence_level,date_processed
2000,2113.89,5.08,24.61,30.75,528471.66,0.15,10.0,0.2,2325.28,2113.89,0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2001,1956.69,5.75,143.63,34.28,489171.76,0.16,12.5,0.22,2152.36,4070.57,-7.44,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2002,2398.28,6.81,63.25,39.72,599570.57,0.17,15.0,0.24,2638.11,6468.86,22.57,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2003,2422.19,7.21,36.01,45.98,605546.45,0.18,17.5,0.26,2664.4,8891.04,1.0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2004,2467.86,8.41,71.46,49.94,616965.95,0.19,20.0,0.28,2714.65,11358.91,1.89,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2005,2665.94,8.59,68.21,55.92,666485.28,0.2,22.5,0.3,2932.54,14024.85,8.03,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2006,2716.76,9.33,23.98,58.01,679190.78,0.21,25.0,0.32,2988.44,16741.61,1.91,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2007,2958.17,10.41,304.61,63.56,739542.73,0.22,27.5,0.34,3253.99,19699.78,8.89,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2008,3221.07,10.91,67.37,71.7,805267.51,0.23,30.0,0.36,3543.18,22920.85,8.89,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2009,3277.08,11.97,35.39,75.71,819270.91,0.24,32.5,0.38,3604.79,26197.93,1.74,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-05-15
2010,3342.66,13.33,347.89,80.78,835665.59,0.25,35.0,0.4,3676.93,29540.6,2.0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-05-15
2011,3550.6,13.48,37.89,84.21,887649.06,0.26,37.5,0.42,3905.66,33091.19,6.22,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-05-15
2012,3760.31,14.67,34.37,91.56,940078.11,0.27,40.0,0.44,4136.34,36851.51,5.91,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2013,4107.04,15.46,121.46,97.71,1026760.0,0.28,42.5,0.46,4517.74,40958.55,9.22,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.93,2026-05-15
2014,3901.61,16.21,23.45,102.54,975402.56,0.29,45.0,0.48,4291.77,44860.16,-5.0,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2015,4263.37,16.62,28.59,103.03,1065841.9,0.3,47.5,0.5,4689.7,49123.52,9.27,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-05-15
2016,4499.28,17.57,180.46,110.09,1124821.2,0.31,50.0,0.52,4949.21,53622.81,5.53,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2017,4592.05,18.36,37.0,114.26,1148012.25,0.32,52.5,0.54,5051.25,58214.86,2.06,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.97,2026-05-15
2018,4745.39,18.98,31.12,120.6,1186346.72,0.33,55.0,0.56,5219.93,62960.24,3.34,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.92,2026-05-15
2019,4834.17,20.2,256.07,126.75,1208543.44,0.34,57.5,0.58,5317.59,67794.42,1.87,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-05-15
2020,4941.9,20.51,45.25,130.66,1235474.23,0.35,60.0,0.6,5436.09,72736.31,2.23,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.9,2026-05-15
2021,5205.48,21.35,65.27,134.04,1301369.08,0.36,62.5,0.62,5726.02,77941.79,5.33,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.95,2026-05-15
2022,5234.34,22.83,160.4,141.92,1308584.34,0.37,65.0,0.64,5757.77,83176.13,0.55,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2023,5443.15,23.9,29.32,143.51,1360786.44,0.38,67.5,0.66,5987.46,88619.27,3.99,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.96,2026-05-15
2024,5551.59,24.6,29.41,151.38,1387898.46,0.39,70.0,0.68,6106.75,94170.87,1.99,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.91,2026-05-15
2025,5809.4,25.24,131.55,153.64,1452349.58,0.4,72.5,0.7,6390.34,99980.27,4.64,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.98,2026-05-15
2026,5903.57,25.78,28.86,158.2,1475891.65,0.41,75.0,0.72,6493.92,105883.83,1.62,Hansen GFC / VIIRS / MODIS,Hansen Global Forest Change / GFW / NASA FIRMS,https://earthenginepartners.appspot.com/science-2013-global-forest,Google Earth Engine + GeoPandas Parametric Analysis,0.94,2026-05-15
