title_id,permit_name,operator,mineral_type,status,issue_date,expiry_date,province,territory,latitude,longitude,source,year
PE-7453,Permit PE-7453,Kibali Gold,Gold,Active,2019-01-01,2029-01-01,Ituri,Mambasa,2.929045637711912,27.759987833327095,CAMI,2019
PE-3501,Permit PE-3501,Banro Corp,Cassiterite,Expired,2006-01-01,2016-01-01,Ituri,Mambasa,1.427984707446984,28.676604813752675,CAMI,2006
PE-6402,Permit PE-6402,Alphamin,Gold,Active,2020-01-01,2030-01-01,Ituri,Mambasa,1.6029720334533573,29.134339040316323,CAMI,2020
PE-2505,Permit PE-2505,Artisanal Cooperatives,Diamond,Renewal,2023-01-01,2033-01-01,Ituri,Mambasa,1.2668675563417773,27.85060665623375,CAMI,2023
PE-8957,Permit PE-8957,Banro Corp,Cassiterite,Active,2022-01-01,2032-01-01,Ituri,Mambasa,2.0103891017465267,29.112847279633932,CAMI,2022
PE-2631,Permit PE-2631,Banro Corp,Diamond,Inactive,2016-01-01,2026-01-01,Ituri,Mambasa,2.792866802874971,28.17046326364401,CAMI,2016
PE-9484,Permit PE-9484,Artisanal Cooperatives,Coltan,Inactive,2013-01-01,2023-01-01,Ituri,Mambasa,2.37517782804891,29.049042861361666,CAMI,2013
PE-4751,Permit PE-4751,Kibali Gold,Wolframite,Renewal,2023-01-01,2033-01-01,Ituri,Mambasa,1.2339786542895808,28.09879005891336,CAMI,2023
PE-9112,Permit PE-9112,Artisanal Cooperatives,Gold,Active,2018-01-01,2028-01-01,Ituri,Mambasa,0.6579490531920644,29.34602428818195,CAMI,2018
PE-9842,Permit PE-9842,Banro Corp,Coltan,Inactive,2016-01-01,2026-01-01,Ituri,Mambasa,2.0006138198589394,27.909724427852264,CAMI,2016
PE-2777,Permit PE-2777,AngloGold Ashanti,Cassiterite,Expired,2009-01-01,2019-01-01,Ituri,Mambasa,2.0831995247407846,29.680569464969075,CAMI,2009
PE-6371,Permit PE-6371,AngloGold Ashanti,Coltan,Active,2001-01-01,2011-01-01,Ituri,Mambasa,2.560346672591064,28.41146096970911,CAMI,2001
PE-3729,Permit PE-3729,AngloGold Ashanti,Coltan,Inactive,2006-01-01,2016-01-01,Ituri,Mambasa,2.4400719664196533,27.89924177425899,CAMI,2006
PE-9747,Permit PE-9747,Banro Corp,Wolframite,Active,2026-01-01,2036-01-01,Ituri,Mambasa,2.1444655234917716,29.461693115074375,CAMI,2026
PE-9278,Permit PE-9278,Kibali Gold,Gold,Inactive,2021-01-01,2031-01-01,Ituri,Mambasa,2.9104188102727715,28.448051717579897,CAMI,2021
PE-2148,Permit PE-2148,Artisanal Cooperatives,Diamond,Active,2000-01-01,2010-01-01,Ituri,Mambasa,0.7279445068052164,28.9053748783353,CAMI,2000
PE-9618,Permit PE-9618,AngloGold Ashanti,Coltan,Active,2003-01-01,2013-01-01,Ituri,Mambasa,2.0165087587328188,29.155879178536797,CAMI,2003
PE-1024,Permit PE-1024,Artisanal Cooperatives,Diamond,Expired,2011-01-01,2021-01-01,Ituri,Mambasa,2.8623718009258416,28.635151641127397,CAMI,2011
PE-2737,Permit PE-2737,AngloGold Ashanti,Cassiterite,Active,2002-01-01,2012-01-01,Ituri,Mambasa,2.2636336191031163,28.097222301960418,CAMI,2002
PE-5502,Permit PE-5502,Artisanal Cooperatives,Gold,Expired,2002-01-01,2012-01-01,Ituri,Mambasa,2.4006884211825454,28.926366943316722,CAMI,2002
PE-4253,Permit PE-4253,Alphamin,Gold,Inactive,2004-01-01,2014-01-01,Ituri,Mambasa,0.7825546708628832,27.621327575917796,CAMI,2004
