year,total_sites,inside_reserve,area_affected_ha,new_permits,forest_loss_ha
2000,6,4,60,1,33.99835352965086
2001,6,2,60,1,38.55770155137071
2002,9,6,90,1,130.64575724444848
2003,7,5,70,1,59.28198097969074
2004,5,0,50,1,54.86367978291703
2005,1,1,10,0,7.957843264974817
2006,10,3,100,0,111.34959521372849
2007,3,1,30,1,42.49523125188607
2008,4,4,40,0,28.671068726746608
2009,5,2,50,0,53.82417242999395
2010,8,4,80,0,113.08963627090068
2011,4,0,40,0,44.92952366670768
2012,4,2,40,0,27.931472942978367
2013,3,1,30,1,32.66154284035732
2014,5,3,50,0,33.51907753933154
2015,7,5,70,0,104.19753929931302
2016,7,2,70,0,40.23336331659904
2017,6,5,60,0,38.98119511118561
2018,4,2,40,1,40.14676362227601
2019,6,3,60,1,84.03185963171967
2020,5,4,50,2,74.00226825079606
2021,6,3,60,0,34.40928340110312
2022,7,5,70,2,60.07990759355907
2023,4,1,40,0,49.30174756180005
2024,4,2,40,0,46.87532643752789
2025,6,0,60,1,47.16627988202079
2026,8,4,80,1,45.284490080228295
