site_id,site_name,commodity,impact_type,impact_score,armed_group,latitude,longitude,year,source
IPIS-28778,Site IPIS-28778,Wolframite,Mercury Pollution,3,None,2.279109626083142,28.833257194013616,2010,IPIS
IPIS-18362,Site IPIS-18362,Wolframite,Child Labor,10,ADF,1.5351276605495014,28.693509348244486,2015,IPIS
IPIS-86450,Site IPIS-86450,Coltan,Armed Presence,4,Mai-Mai,1.1268361455859726,28.519452935257117,2016,IPIS
IPIS-17761,Site IPIS-17761,Gold,Deforestation,3,Mai-Mai,0.8195914634647161,28.0509809018685,2009,IPIS
IPIS-83872,Site IPIS-83872,Wolframite,Mercury Pollution,8,Local Militia,1.0531972063156254,28.068478538640573,2015,IPIS
IPIS-37148,Site IPIS-37148,Diamond,Deforestation,9,Mai-Mai,1.7163784042316226,28.436763262460662,2006,IPIS
IPIS-36541,Site IPIS-36541,Diamond,Deforestation,2,ADF,2.632846855490044,28.950170961913837,2007,IPIS
IPIS-73324,Site IPIS-73324,Diamond,Mercury Pollution,5,None,1.909962398881229,28.054535076944287,2010,IPIS
IPIS-96658,Site IPIS-96658,Cassiterite,Deforestation,7,Mai-Mai,2.3014158677929415,28.881928952406337,2015,IPIS
IPIS-27648,Site IPIS-27648,Cassiterite,Deforestation,10,Local Militia,2.550429693843099,28.8858483123965,2026,IPIS
IPIS-66732,Site IPIS-66732,Diamond,Deforestation,5,ADF,1.0663781166227992,29.145493932717027,2014,IPIS
IPIS-49304,Site IPIS-49304,Wolframite,Child Labor,2,Mai-Mai,1.9308057800648968,29.0546803163415,2022,IPIS
IPIS-34794,Site IPIS-34794,Wolframite,Armed Presence,10,Local Militia,2.1699070433138288,28.545843461054798,2006,IPIS
IPIS-63801,Site IPIS-63801,Cassiterite,Mercury Pollution,1,None,1.2751489090650339,28.590380061947112,2000,IPIS
IPIS-35697,Site IPIS-35697,Wolframite,Child Labor,3,Mai-Mai,1.3545114633189828,29.34063470246402,2010,IPIS
IPIS-56408,Site IPIS-56408,Gold,Mercury Pollution,1,ADF,1.0277909422807203,29.178881310439532,2012,IPIS
IPIS-98582,Site IPIS-98582,Cassiterite,Armed Presence,8,Mai-Mai,1.4770167715942755,29.32879804757545,2004,IPIS
IPIS-40980,Site IPIS-40980,Gold,Mercury Pollution,4,ADF,1.9579393746299973,28.89899331623607,2024,IPIS
IPIS-17014,Site IPIS-17014,Wolframite,Deforestation,2,None,2.6408431178481613,28.416236089773726,2009,IPIS
IPIS-36643,Site IPIS-36643,Wolframite,Deforestation,4,None,2.2724639870089263,28.505148244682285,2007,IPIS
IPIS-83643,Site IPIS-83643,Diamond,Armed Presence,2,Local Militia,1.6392392070933846,28.205108741695604,2008,IPIS
IPIS-14181,Site IPIS-14181,Wolframite,Child Labor,7,None,1.6156129949580382,28.84383766580893,2010,IPIS
IPIS-66249,Site IPIS-66249,Diamond,Mercury Pollution,8,Local Militia,1.1968083600268427,29.085311462035705,2017,IPIS
IPIS-10878,Site IPIS-10878,Gold,Armed Presence,1,None,2.2363790675970217,28.64444764120109,2005,IPIS
IPIS-96899,Site IPIS-96899,Cassiterite,Deforestation,1,Local Militia,1.1662522140484142,29.13183872633913,2019,IPIS
IPIS-14436,Site IPIS-14436,Coltan,Mercury Pollution,2,None,1.153992205792876,28.28323624020109,2001,IPIS
IPIS-40551,Site IPIS-40551,Cassiterite,Mercury Pollution,8,Mai-Mai,1.2451005298250015,28.663138533365895,2000,IPIS
IPIS-67879,Site IPIS-67879,Diamond,Deforestation,4,ADF,1.9083217717827914,28.42051107248314,2021,IPIS
IPIS-41882,Site IPIS-41882,Diamond,Child Labor,2,None,1.1143145508261387,28.843633429914327,2017,IPIS
IPIS-55136,Site IPIS-55136,Diamond,Child Labor,8,Local Militia,1.8552012299009168,28.745781465951843,2017,IPIS
