title_id,permit_name,operator,mineral_type,status,issue_date,expiry_date,province,territory,latitude,longitude,source,year,distance_to_boundary_km,is_inside,latitude,longitude,source
PE-3501,Permit PE-3501,Banro Corp,Cassiterite,Expired,2006-01-01,2016-01-01,Ituri,Mambasa,1.427984707446984,28.676604813752675,CAMI,2006,75.17,True,1.427984707446984,28.676604813752675,CAMI
PE-6402,Permit PE-6402,Alphamin,Gold,Active,2020-01-01,2030-01-01,Ituri,Mambasa,1.6029720334533573,29.134339040316323,CAMI,2020,67.44,True,1.6029720334533573,29.134339040316323,CAMI
PE-8957,Permit PE-8957,Banro Corp,Cassiterite,Active,2022-01-01,2032-01-01,Ituri,Mambasa,2.0103891017465267,29.112847279633932,CAMI,2022,55.3,True,2.0103891017465267,29.112847279633932,CAMI
PE-9484,Permit PE-9484,Artisanal Cooperatives,Coltan,Inactive,2013-01-01,2023-01-01,Ituri,Mambasa,2.37517782804891,29.049042861361666,CAMI,2013,21.77,True,2.37517782804891,29.049042861361666,CAMI
PE-4751,Permit PE-4751,Kibali Gold,Wolframite,Renewal,2023-01-01,2033-01-01,Ituri,Mambasa,1.2339786542895808,28.09879005891336,CAMI,2023,28.24,True,1.2339786542895808,28.09879005891336,CAMI
PE-9618,Permit PE-9618,AngloGold Ashanti,Coltan,Active,2003-01-01,2013-01-01,Ituri,Mambasa,2.0165087587328188,29.155879178536797,CAMI,2003,53.98,True,2.0165087587328188,29.155879178536797,CAMI
PE-2737,Permit PE-2737,AngloGold Ashanti,Cassiterite,Active,2002-01-01,2012-01-01,Ituri,Mambasa,2.2636336191031163,28.097222301960418,CAMI,2002,28.42,True,2.2636336191031163,28.097222301960418,CAMI
PE-5502,Permit PE-5502,Artisanal Cooperatives,Gold,Expired,2002-01-01,2012-01-01,Ituri,Mambasa,2.4006884211825454,28.926366943316722,CAMI,2002,32.34,True,2.4006884211825454,28.926366943316722,CAMI
PE-8563,Permit PE-8563,Kibali Gold,Diamond,Renewal,2021-01-01,2031-01-01,Ituri,Mambasa,2.2646135367226217,28.37485252397879,CAMI,2021,49.19,True,2.2646135367226217,28.37485252397879,CAMI
PE-3653,Permit PE-3653,Alphamin,Gold,Expired,2008-01-01,2018-01-01,Ituri,Mambasa,1.8409665536641797,29.027457365538197,CAMI,2008,75.75,True,1.8409665536641797,29.027457365538197,CAMI
PE-9444,Permit PE-9444,AngloGold Ashanti,Gold,Renewal,2000-01-01,2010-01-01,Ituri,Mambasa,1.9160114539999604,28.65759543733864,CAMI,2000,88.59,True,1.9160114539999604,28.65759543733864,CAMI
PE-8236,Permit PE-8236,Kibali Gold,Gold,Active,2020-01-01,2030-01-01,Ituri,Mambasa,2.470541213897844,28.107939985424103,CAMI,2020,12.43,True,2.470541213897844,28.107939985424103,CAMI
PE-2361,Permit PE-2361,AngloGold Ashanti,Cassiterite,Inactive,2016-01-01,2026-01-01,Ituri,Mambasa,1.4015247089909098,28.929068597654997,CAMI,2016,53.86,True,1.4015247089909098,28.929068597654997,CAMI
,,,,,,,,,2.279109626083142,28.833257194013616,IPIS,2010,47.58,True,2.279109626083142,28.833257194013616,IPIS
,,,,,,,,,1.5351276605495014,28.693509348244486,IPIS,2015,81.92,True,1.5351276605495014,28.693509348244486,IPIS
,,,,,,,,,1.1268361455859726,28.519452935257117,IPIS,2016,59.45,True,1.1268361455859726,28.519452935257117,IPIS
,,,,,,,,,1.0531972063156254,28.068478538640573,IPIS,2015,9.64,True,1.0531972063156254,28.068478538640573,IPIS
,,,,,,,,,1.7163784042316226,28.436763262460662,IPIS,2006,93.29,True,1.7163784042316226,28.436763262460662,IPIS
,,,,,,,,,1.909962398881229,28.054535076944287,IPIS,2010,65.89,True,1.909962398881229,28.054535076944287,IPIS
